AM.dn	AM.up	N2.dn	N2.up
WBGene00013698	WBGene00002252		WBGene00016845
WBGene00009221	WBGene00003530		WBGene00009304
WBGene00002130	WBGene00009620		WBGene00017841
WBGene00011231	WBGene00013579		WBGene00007506
WBGene00009361	WBGene00012840		WBGene00002123
WBGene00021966	WBGene00006533		WBGene00044280
WBGene00001958			WBGene00003623
WBGene00017105			WBGene00011707
WBGene00021505			WBGene00004122
WBGene00021726			WBGene00015216
WBGene00006775			WBGene00020561
WBGene00018271			WBGene00007440
WBGene00017481			WBGene00001117
WBGene00012021			WBGene00016004
WBGene00020902			WBGene00002271
WBGene00013699			WBGene00008741
WBGene00007887			WBGene00206361
WBGene00000169			WBGene00015816
WBGene00001436			WBGene00016927
WBGene00009721			WBGene00022644
WBGene00011475			WBGene00045401
WBGene00022418			WBGene00003933
WBGene00003518			WBGene00012101
WBGene00020261			WBGene00000022
WBGene00004819			WBGene00007765
WBGene00021468			WBGene00001824
WBGene00016453			WBGene00011374
WBGene00019687			WBGene00011190
WBGene00000703			WBGene00011756
WBGene00019414			WBGene00011060
WBGene00008157			WBGene00004811
WBGene00012240			WBGene00020954
WBGene00010691			WBGene00018252
WBGene00001820			WBGene00013079
WBGene00003998			WBGene00009902
WBGene00011531			WBGene00022848
WBGene00010872			WBGene00002274
WBGene00009675			WBGene00006741
WBGene00044692			WBGene00020471
WBGene00012926			WBGene00014697
WBGene00019703			WBGene00008900
WBGene00009537			WBGene00011984
WBGene00016534			WBGene00011108
WBGene00015518			WBGene00003610
WBGene00010234			WBGene00194713
WBGene00015063			WBGene00012034
WBGene00014144			WBGene00003602
WBGene00020544			WBGene00008454
WBGene00019923			WBGene00009957
WBGene00014159			WBGene00001163
WBGene00001910			WBGene00045272
WBGene00000482			WBGene00007913
WBGene00006541			WBGene00007453
WBGene00020801			WBGene00001064
WBGene00016980			WBGene00009804
WBGene00016983			WBGene00006408
WBGene00006962			WBGene00010904
WBGene00001976			WBGene00006820
WBGene00013254			WBGene00020760
WBGene00020756			WBGene00011103
WBGene00006331			WBGene00011763
WBGene00009951			WBGene00003530
WBGene00020911			WBGene00007652
WBGene00000461			WBGene00021415
WBGene00000463			WBGene00003847
WBGene00007649			WBGene00007315
WBGene00018604			WBGene00003769
WBGene00000301			WBGene00020373
			WBGene00003408
			WBGene00045268
			WBGene00003517
			WBGene00014206
			WBGene00016492
			WBGene00004219
			WBGene00022441
			WBGene00018470
			WBGene00019160
			WBGene00000969
			WBGene00008476
			WBGene00015110
			WBGene00009982
			WBGene00020938
			WBGene00004469
			WBGene00001772
			WBGene00009889
			WBGene00011672
			WBGene00002039
			WBGene00009595
			WBGene00013392
			WBGene00008228
			WBGene00020143
			WBGene00020047
			WBGene00009434
			WBGene00009620
			WBGene00016907
			WBGene00006942
			WBGene00014836
			WBGene00003767
			WBGene00043995
			WBGene00012107
			WBGene00020200
