	amir_1_mix_11	amir_1_mix_12	amir_1_mix_13	amir_1_mix_14	amir_1_mix_15	amir_1_mix_16	amir_1_mix_17	amir_1_mix_18	amir_1_mix_20	amir_1_mix_21	amir_1_mix_22	amir_1_mix_24
WBGene00012970	8.34764800518836	11.5049504127165	16.9441337690633	13.4370888245109	11.3918936946083	15.5110126725936	13.5329647600544	16.0907875653795	7.17400497725046	10.3778786877143	10.6835287262202	14.3494487223639
WBGene00012971	4.77008457439335	5.75247520635823	3.38882675381266	7.6783364711491	2.27837873892166	0	1.12774706333787	5.3635958551265	8.07075559940677	7.78340901578572	6.79860918941286	4.09984249210396
WBGene00012972	211.076242416906	183.120460735737	202.199996310822	252.745242175325	230.875712210728	157.496436367874	189.461506640762	218.566531096405	199.0786381187	304.417774839619	234.066402092643	160.918817815081
WBGene00012973	2879.93856178998	4158.08082832927	2887.28039424839	3902.51451146153	3441.11135535135	4124.73621608893	3285.12719550321	4091.08273849774	3779.80387238884	4864.63063486607	4713.37862803152	4383.75658468216
WBGene00012976	7.15512686159002	1.91749173545274	4.51843567175021	6.39861372595759	3.03783831856221	4.77261928387496	7.89422944336509	2.68179792756325	8.07075559940677	6.91858579180953	6.79860918941286	2.04992124605198
WBGene00012977	60.8185783235152	47.9372933863186	41.7955299636895	47.3497415720861	48.6054130969954	40.5672639129371	46.2376295968526	49.6132616599201	47.5277829742843	56.2135095584524	58.2737930521103	45.0982674131436
WBGene00012978	968.32716860185	1277.04949581153	1103.62791282499	1250.28912205211	1142.98666735903	1270.70988433171	1123.23607508452	1197.42277465699	1098.51951214148	1644.89377200272	1829.79710183626	1653.26148494092
WBGene00012980	3094.59236763769	2134.1683015589	3359.45692194628	2801.95295059683	2898.85721548799	2469.83047940529	4966.59806693998	2317.07340941465	3021.1528460446	1658.73094358633	1600.58684916463	2150.36738710853
WBGene00012982	610.570825522349	474.579204524554	558.026805461151	854.854793787934	684.273081256138	571.521159244026	737.546579422967	437.13306219281	737.129011412485	817.2579466575	557.485953531855	721.572278610297
WBGene00012983	1326.08351168135	1428.53134291229	1336.32734992013	1409.61460382846	1331.33264310989	1442.52417855121	1163.83496936468	1263.12682388229	1317.32666394762	1837.74935094941	1675.37155024817	1546.66558014622
WBGene00012984	59.6260571799169	54.6485144604032	44.0547477995646	44.1504347091074	59.9973067916037	58.4645862274682	43.9821354701769	52.2950595874834	39.4570273748775	70.0506811420715	56.3313332837066	68.6723617427414
WBGene00012987	16.6952960103767	10.5462045449901	24.8513961946262	23.0350094134473	22.7837873892166	36.9877994500309	13.5329647600544	24.1361813480693	19.7285136874388	13.8371715836191	18.4533677998349	15.3744093453899
WBGene00012988	720.282770733396	606.886134270793	615.636860275967	621.945254163077	685.792000415419	600.156874947276	781.528714893144	639.608805723835	613.377425554914	525.812520177524	483.672482332515	702.098026772804
WBGene00012989	2.38504228719667	1.91749173545274	7.90726242556287	3.83916823557455	3.79729789820276	8.35208374678117	2.25549412667574	0	3.58700248862523	4.32411611988096	5.82737930521103	4.09984249210396
WBGene00012990	212.268763560504	233.933991725235	249.643570864199	228.430510016686	194.421652387982	161.07590083078	156.756841803964	183.703158038083	202.665640607325	257.717320744905	212.699344640202	215.241730835458
WBGene00012992	60.8185783235152	70.9471942117515	64.3877083224405	79.3428102018741	70.6297409065714	79.9413730049055	69.9203179269479	46.9314637323569	66.3595460395668	101.184317205214	108.777747030606	70.7222829887934
WBGene00012994	36.9681554515485	69.0297024762987	90.3687134350043	18.555979805277	50.883791835917	19.0904771354998	43.9821354701769	42.908766841012	35.8700248862523	27.6743431672381	22.3382873366423	19.4742518374938
WBGene00012995	13.1177325795817	18.2161714868011	11.2960891793755	19.1958411778728	28.1000044467005	31.0220253451872	23.6826883300953	17.4316865291611	23.315516176064	30.2688128391667	22.3382873366423	29.7238580677537
WBGene00012996	205.113636698914	267.490097095658	274.494967058825	235.468985115239	283.278423205926	272.039299180872	288.703248214495	240.020914516911	240.32916673789	293.175072927929	284.570356071138	242.91566765716
WBGene00012997	84.6690011954819	92.998349169458	63.258099404503	88.9407307908105	74.4270388047742	76.3619085419993	85.7087768136781	81.7948367906791	78.9140547497551	105.508433325095	75.7559309677434	97.3712591874691
WBGene00012998	3.57756343079501	11.5049504127165	10.166480261438	4.47902960817031	5.31621705748387	9.54523856774991	3.38324119001361	12.0680906740346	6.27725435509415	6.91858579180953	5.82737930521103	10.2496062302599
WBGene00012999	17.8878171539751	38.3498347090549	23.7217872766886	26.8741776490219	34.1756810838249	31.0220253451872	30.4491707101225	41.5678678772304	37.6635261305649	40.646691526881	35.935505715468	34.8486611828837
WBGene00013001	13.1177325795817	19.1749173545274	10.166480261438	15.996534314894	18.2270299113733	20.2836319564686	20.2994471400817	17.4316865291611	16.1415111988135	25.9446967192857	21.3670574524404	21.5241730835458
WBGene00013002	215.846326991299	278.995047508374	204.459214146697	238.028430605622	258.975716657429	299.481860063154	354.112577888091	249.407207263382	322.830223976271	245.609795609238	295.253884797359	296.213620054511
WBGene00013004	26.2354651591634	39.3085805767812	39.5363121278144	37.111959610554	34.9351406634654	32.215180166156	27.0659295201089	29.4997772031958	34.0765236419397	44.9708076467619	46.6190344416882	31.7737793138057
WBGene00013007	25.0429440155651	2.87623760317911	14.6849159331882	17.9161184326812	23.5432469688571	5.9657741048437	11.2774706333787	4.02269689134488	2.69025186646892	18.1612877035	3.88491953680735	14.3494487223639
WBGene00013008	1310.58073681457	1968.30526644224	1268.55081484387	1086.4846106676	1629.80025790863	1906.66140390805	1055.57125128425	2181.6426140727	953.245911352155	655.536003773953	1151.87864266338	581.152673255737
WBGene00013009	15.5027748667784	16.2986797513483	24.8513961946262	9.59792058893638	12.9108128538894	16.7041674935623	10.1497235700408	20.1134844567244	11.657758088032	7.78340901578572	11.6547586104221	5.12480311512995
WBGene00013011	294.552722468789	299.128710730628	318.54971485839	405.032248853115	265.051393294553	270.846144359904	356.368072014767	269.520691720107	357.803498240367	441.924667451834	317.592172134001	360.786139305149
WBGene00013013	9.5401691487867	24.9273925608857	11.2960891793755	6.39861372595759	11.3918936946083	42.9535735548746	11.2774706333787	34.8633730583223	15.2447605766572	9.5130554637381	16.5109080314312	8.19968498420793
WBGene00013014	1023.18314120737	1101.5990020176	961.297189164858	1144.07213420122	1047.29476032432	1027.30630085408	1044.29378065087	1071.37827206152	960.419916329405	1317.12577011574	1067.38164273782	1243.27723573053
WBGene00013015	120.444635503432	152.440592968493	151.367595003632	151.007283932599	154.929754246673	163.462210472717	118.413441650476	191.748551820772	169.485867587542	210.152043426214	198.130896377175	153.744093453899
WBGene00013017	94.2091703442686	144.770626026682	101.66480261438	101.09809687013	113.159477366442	133.633339948499	117.285694587138	152.862481871105	115.680830258164	135.777246164262	163.166620545909	138.369684108509
WBGene00013018	66.7811840415069	64.2359731376669	41.7955299636895	47.9896029446819	60.7567663712442	63.2372055113432	53.0041119768799	58.9995544063915	69.0497979060357	58.807979230381	63.1299424731195	67.6474011197154
WBGene00013019	283.820032176404	350.900987587852	266.587704633263	326.969161396433	370.61627486459	324.538111303497	263.892812821061	266.838893792543	352.422994507429	419.439263628453	399.175482406955	403.83448547224
WBGene00013020	51.2784091747285	28.7623760317911	27.1106140305013	40.3112664735328	35.694600243106	42.9535735548746	32.7046648367982	26.8179792756325	28.6960199090018	41.5115147508572	39.8204252522753	35.8736218059097
WBGene00013021	59.6260571799169	63.2772272699405	50.8324013071899	60.1469690240013	62.2756855305253	41.7604187339059	58.6428472935692	50.9541606237018	64.5660447952541	80.4285598297858	77.698390736147	45.0982674131436
WBGene00013024	13.1177325795817	7.66996694181097	14.6849159331882	12.1573660793194	7.59459579640553	7.15892892581243	4.51098825335148	12.0680906740346	5.38050373293784	9.5130554637381	8.74106895781654	11.2745668532859
WBGene00013025	2375.50211804789	2603.95377674483	2369.91950983299	2596.55744999359	2686.20853318864	2689.37096646354	2150.61364978532	2401.55004413289	2385.35665493578	3112.49878309031	2696.1341585443	2818.64171332147
WBGene00013026	189.610861832136	208.047853296623	199.940778474947	224.591341781111	190.624354489779	186.132152071123	180.439530134059	246.725409335819	210.736396206732	277.608254896357	221.440413598019	256.240155756498
WBGene00013027	8.34764800518836	4.79372933863186	6.77765350762532	4.47902960817031	6.07567663712442	7.15892892581243	2.25549412667574	6.70449481890813	8.96750622156308	6.05376256783334	2.91368965260551	4.09984249210396
WBGene00013029	53.6634514619252	62.3184814022141	60.9988815686279	72.3043351033207	58.4783876323226	58.4645862274682	51.876364913542	41.5678678772304	65.4627954174104	77.8340901578572	66.043632125725	59.4477161355075
WBGene00013030	42.9307611695401	43.1435640476867	42.925138881627	43.5105733365116	37.9729789820276	51.3056573016558	48.4931237235284	36.2042720221039	40.3537779970338	61.4024489023096	34.9642758312662	55.3478736434035
WBGene00013034	834.764800518836	923.272270620496	884.483782745104	1122.95670890556	1032.86502831115	1039.23784906377	984.52318629396	1123.673331649	1068.02999098816	1077.56973707433	939.179298023177	1085.43329978452
WBGene00013035	146.680100662595	134.224421481692	115.22010962963	106.856849223492	138.221643494581	133.633339948499	75.5590532436373	131.408098450599	89.6750622156307	110.697372668952	94.2092987675783	89.1715742032612
WBGene00013037	25.0429440155651	28.7623760317911	41.7955299636895	21.7552866682558	27.3405448670599	17.8973223145311	14.6607118233923	24.1361813480693	17.9350124431262	15.5668180315714	16.5109080314312	17.4243305914418
WBGene00013038	1379.74696314328	1188.8448759807	1234.66254730575	1611.17093619612	1484.74347819728	1453.26257193992	1391.63987615893	1147.80951299707	1395.34396807521	1851.58652253302	1620.01144684867	1621.48770562712
WBGene00013039	87.0540434826786	79.5759070212888	80.2022331735663	78.0630874566826	86.578392079023	93.0660760355617	95.8585003837189	63.0222512977364	84.2945584826929	76.969266933881	78.6696206203489	78.9219679730013
WBGene00013040	14.31025372318	19.1749173545274	20.332960522876	14.0769501971067	15.1891915928111	8.35208374678117	18.0439530134059	4.02269689134488	8.96750622156308	19.0261109274762	13.5972183788257	3.07488186907797
WBGene00013041	23.8504228719667	29.7211218995175	21.4625694408135	18.555979805277	25.8216257077788	17.8973223145311	14.6607118233923	24.1361813480693	26.0057680425329	26.8095199432619	18.4533677998349	23.5740943295978
WBGene00013042	112.096987498244	117.925741730344	103.924020450255	117.094631185024	87.3378516586636	88.2934567516867	86.8365238770159	136.771694305726	74.4303016389735	103.778786877143	90.3243792307709	84.0467710881312
WBGene00013046	10.732690292385	10.5462045449901	19.2033516049384	6.39861372595759	7.59459579640553	17.8973223145311	12.4052176967166	13.4089896378163	14.3480099545009	5.18893934385715	8.74106895781654	3.07488186907797
WBGene00013073	8.34764800518836	7.66996694181097	5.64804458968777	4.47902960817031	0.759459579640553	9.54523856774991	1.12774706333787	6.70449481890813	4.48375311078154	3.45929289590476	1.94245976840368	1.02496062302599
WBGene00013074	44.1232823131385	22.0511549577065	16.9441337690633	19.1958411778728	59.2378472119631	57.2714314064995	16.916205950068	32.181575130759	5.38050373293784	30.2688128391667	59.2450229363121	26.6489761986758
WBGene00013075	275.472384171216	265.572605360205	255.291615453887	371.11959610554	326.567619245438	361.525910753528	285.320007024481	282.929681357923	326.417226464896	448.843253243643	403.060401943763	364.885981797253
WBGene00013077	14.31025372318	21.0924090899802	25.9810051125637	23.6748707860431	16.7081107520922	23.8630964193748	22.5549412667574	32.181575130759	20.6252643095951	10.3778786877143	19.4245976840368	19.4742518374938
WBGene00013078	5.96260571799169	5.75247520635823	15.8145248511257	5.75875235336183	6.83513621676498	9.54523856774991	6.76648238002722	5.3635958551265	8.07075559940677	4.32411611988096	10.6835287262202	3.07488186907797
WBGene00013079	151.450185236989	202.295378090264	158.145248511257	84.4617011826401	129.867588118535	143.178578516249	90.2197650670296	191.748551820772	122.854835235414	61.4024489023096	102.950367725395	55.3478736434035
WBGene00013080	193.188425262931	203.254123957991	146.849159331882	145.888392951833	164.043269202359	167.041674935623	71.0480649902858	164.93057254514	71.7400497725046	143.560655180048	143.742022861872	136.319762862457
WBGene00013081	139.524973801005	220.511549577065	129.905025562819	133.731026872514	125.310830640691	147.951197800124	113.902453397125	237.339116589348	144.376850167166	94.2657314134048	192.303517071964	87.1216529572092
WBGene00013082	14.31025372318	14.3811880158956	24.8513961946262	10.8776433341279	12.1513532742488	11.9315482096874	22.5549412667574	13.4089896378163	17.0382618209698	6.91858579180953	3.88491953680735	6.14976373815594
WBGene00013083	15.5027748667784	16.2986797513483	22.5921783587511	15.996534314894	24.3027065484977	19.0904771354998	15.7884588867302	20.1134844567244	11.657758088032	8.64823223976191	15.5396781472294	13.3244880993379
WBGene00013086	162.182875529374	93.9570950371844	184.126253623821	136.290472362897	114.678396525723	73.9755989000618	235.699136237615	91.1811295371505	176.659872564793	108.967726221	106.835287262202	99.4211804335211
WBGene00013091	4.77008457439335	11.5049504127165	11.2960891793755	1.91958411778728	6.83513621676498	10.7383933887187	2.25549412667574	6.70449481890813	3.58700248862523	4.32411611988096	6.79860918941286	7.17472436118194
WBGene00013093	1307.00317338378	1164.87622928754	1311.4759537255	1631.00663874659	1417.91103518891	1427.01316587861	1452.53821757918	1100.87804926471	1487.70928215731	1579.16720698052	1167.41832081061	1627.63746936527
WBGene00013094	298.130285899584	302.004948333807	272.23574922295	255.944549038303	265.051393294553	300.675014884122	248.104353934331	248.066308299601	243.019418604359	340.740350246619	325.362011207616	301.338423169641
WBGene00013095	2780.95930687132	2928.00988003634	3215.99658936821	3300.40495984892	3229.98159221127	3185.72337198653	3306.55438970663	3049.20424363942	3364.60833433047	3689.33587348243	3749.9185829033	3882.55084002245
WBGene00013096	147.872621806194	144.770626026682	157.01563959332	218.192728055154	183.789218273014	141.98542369528	147.734865297261	128.726300523036	185.627378786356	247.339442057191	186.476137766753	216.266691458484
WBGene00013098	7.15512686159002	6.7112210740846	9.03687134350043	3.19930686297879	4.55675747784332	8.35208374678117	7.89422944336509	1.34089896378163	8.96750622156308	0	2.91368965260551	3.07488186907797
WBGene00013100	240.889271006864	150.52310123304	256.421224371825	197.717164132089	243.027065484977	201.643164743717	382.306254471538	197.112147675899	261.851181669642	144.425478404024	153.45432170389	152.719132830873
WBGene00013103	10.732690292385	2.87623760317911	6.77765350762532	7.6783364711491	9.11351495568663	10.7383933887187	9.02197650670296	9.38629274647138	7.17400497725046	3.45929289590476	8.74106895781654	9.22464560723392
WBGene00013104	14.31025372318	15.3399338836219	14.6849159331882	9.59792058893638	15.9486511724516	21.4767867774373	9.02197650670296	24.1361813480693	10.7610074658757	0.864823223976191	14.5684482630276	9.22464560723392
WBGene00013106	5.96260571799169	2.87623760317911	5.64804458968777	3.83916823557455	1.51891915928111	7.15892892581243	5.63873531668935	1.34089896378163	8.07075559940677	2.59446967192857	0	4.09984249210396
WBGene00013109	1364.2441882765	1271.29702060517	1238.05137405956	1263.08634950403	1286.5245279111	1252.81256201718	1323.97505235866	1226.92255186019	1219.58084613258	1446.84925371217	1458.78728607116	1574.33951696792
WBGene00013111	237.311707576069	145.729371894408	264.328486797387	194.517857269111	222.521656834682	225.506261163092	197.355736084127	198.453046639681	207.149393718107	97.7250243093096	134.029724019854	174.243305914418
WBGene00013116	4.77008457439335	1.91749173545274	1.12960891793755	2.55944549038303	4.55675747784332	1.19315482096874	2.25549412667574	1.34089896378163	1.79350124431262	0	1.94245976840368	2.04992124605198
WBGene00013118	7.15512686159002	4.79372933863186	4.51843567175021	1.27972274519152	10.6324341149677	5.9657741048437	9.02197650670296	12.0680906740346	4.48375311078154	4.32411611988096	2.91368965260551	4.09984249210396
WBGene00013119	85.8615223390803	126.554454539881	100.535193696442	72.9441964759165	85.0594729197419	116.929172454936	101.497235700408	61.6813523339548	63.6692941730978	48.4301005426667	61.1874827047158	48.1731492822216
WBGene00013122	252.814482442847	232.016499989782	256.421224371825	247.626351194559	287.075721104129	306.640788988966	270.659295201089	205.157541458589	373.048258817024	362.360930846024	285.54158595534	309.538108153849
WBGene00013123	48.8933668875318	78.6171611535625	50.8324013071899	72.3043351033207	54.6810897341198	59.657741048437	40.5988942801633	57.6586554426099	60.9790423066289	73.5099740379762	52.4464137468992	42.0233855440656
WBGene00013124	8.34764800518836	9.58745867726372	12.4256980973131	5.75875235336183	8.35405537604608	5.9657741048437	10.1497235700408	8.04539378268975	9.86425684371938	2.59446967192857	8.74106895781654	8.19968498420793
WBGene00013126	23.8504228719667	31.6386136349703	25.9810051125637	47.3497415720861	34.9351406634654	28.6357157032497	60.898341420245	57.6586554426099	62.7725435509415	45.8356308707381	33.0218160628625	67.6474011197154
WBGene00013127	933.744055437498	864.788772689187	721.820098562097	1093.52308576615	858.948784573465	986.739036941147	1105.19212207111	989.583435270839	1151.4277988487	972.926126973215	897.416413002498	942.963773183911
WBGene00013128	95.401691487867	94.9158409049108	101.66480261438	110.05615608647	95.6919070347097	59.657741048437	115.030200460463	63.0222512977364	101.332820303663	91.6712617414762	80.6120803887525	84.0467710881312
WBGene00013129	21.4653805847701	15.3399338836219	13.5553070152506	22.3951480408516	12.1513532742488	9.54523856774991	15.7884588867302	17.4316865291611	18.8317630652825	32.8632825110953	26.2232068734496	22.5491337065718
WBGene00013130	17.8878171539751	12.4636962804428	6.77765350762532	10.2377819615321	6.83513621676498	13.1247030306561	5.63873531668935	13.4089896378163	8.96750622156308	1.72964644795238	7.7698390736147	4.09984249210396
WBGene00013132	128.79228350862	138.059404952597	117.479327465506	154.846452168174	138.221643494581	158.689591188842	136.457394663882	148.83978497976	121.061333991102	193.720402170667	180.648758461542	177.318187783496
WBGene00013135	79.8989166210886	64.2359731376669	91.4983223529418	85.1015625552359	113.159477366442	126.474411022686	73.3035591169615	95.2038264284954	77.1205535054424	75.2396204859286	44.6765746732845	128.120077878249
WBGene00013136	184.840777257742	174.4917479262	155.886030675382	151.007283932599	169.359486259843	187.325306892092	110.519212207111	195.771248712117	99.5393190593501	109.832549444976	142.77079297767	141.444565977587
WBGene00013137	296.937764755986	348.024749984673	295.957536499639	358.962230026221	306.062210595143	304.254479347028	318.024671861279	435.792163229028	413.402036814058	592.403908423691	375.865965186111	480.70653219919
WBGene00013139	124.022198934227	171.61551032302	178.478209034133	185.55979805277	190.624354489779	202.836319564686	198.483483147465	183.703158038083	185.627378786356	223.124391785857	235.037631976845	237.79086454203
WBGene00013140	783.486391344108	907.932336736874	733.116187741472	918.840931047509	902.997440192617	801.800039690993	813.105632666604	626.199816086019	773.895786920893	1262.64190700524	1035.33105655916	884.54101767143
WBGene00013141	62.0110994671135	92.0396033017317	49.7027923892523	69.1050282403419	66.8324430083686	93.0660760355617	50.7486178502041	92.5220285009321	74.4303016389735	164.316412555476	157.339241240698	138.369684108509
WBGene00013142	4.77008457439335	7.66996694181097	7.90726242556287	1.91958411778728	3.79729789820276	4.77261928387496	0	1.34089896378163	1.79350124431262	3.45929289590476	3.88491953680735	9.22464560723392
WBGene00013143	73.9363109030969	61.3597355344878	39.5363121278144	92.779899026385	94.1729878754285	107.383933887187	46.2376295968526	81.7948367906791	92.3653140820997	134.04759971631	118.490045872624	95.3213379414171
WBGene00013144	876.503040544778	932.859729297759	745.541885838785	915.001762811935	902.997440192617	961.682785700804	828.894091553334	839.402751327297	788.243796875394	923.631203206572	971.229884201838	1003.43644994244
WBGene00013145	4.77008457439335	13.4224421481692	36.1474853740017	19.1958411778728	20.5054086502949	7.15892892581243	18.0439530134059	10.727191710253	14.3480099545009	5.18893934385715	8.74106895781654	19.4742518374938
WBGene00013146	2.38504228719667	6.7112210740846	6.77765350762532	1.91958411778728	4.55675747784332	2.38630964193748	3.38324119001361	2.68179792756325	6.27725435509415	0	4.85614942100919	3.07488186907797
WBGene00013150	151.450185236989	147.646863629861	179.607817952071	162.524788639323	134.424345596378	128.860720664624	172.545300690694	136.771694305726	175.763121942636	151.344064195833	151.511861935487	156.818975322977
WBGene00013151	16.6952960103767	20.1336632222538	7.90726242556287	18.555979805277	9.11351495568663	13.1247030306561	12.4052176967166	17.4316865291611	18.8317630652825	19.0261109274762	23.3095172208441	19.4742518374938
WBGene00013156	78.7063954774903	102.585807846722	93.7575401888169	104.937265105704	86.578392079023	70.3961344371556	80.0700414969887	126.044502595473	131.822341456977	196.314871842595	154.425551588092	154.769054076925
WBGene00013159	3.57756343079501	13.4224421481692	9.03687134350043	8.95805921634062	4.55675747784332	9.54523856774991	9.02197650670296	13.4089896378163	0.896750622156308	5.18893934385715	0.971229884201838	2.04992124605198
WBGene00013160	326.750793345944	310.633661143344	360.34524482208	293.056508648857	312.137887232267	318.572337198653	362.006807331456	269.520691720107	312.069216510395	390.900097237238	312.736022712992	384.360233634747
WBGene00013161	113.289508641842	113.132012391712	101.66480261438	115.175047067237	100.248664512553	131.247030306561	121.79668284049	111.294613993875	127.338588346196	127.993837148476	145.684482630276	144.519447846665
WBGene00013166	3.57756343079501	2.87623760317911	4.51843567175021	3.83916823557455	0.759459579640553	3.57946446290622	5.63873531668935	2.68179792756325	7.17400497725046	0.864823223976191	3.88491953680735	5.12480311512995
WBGene00013168	1091.15684639248	1239.6584069702	1030.20333315905	1239.41147871798	1238.67857439374	1286.2208970043	1154.81299285798	1043.2193938221	1263.52162661824	1534.19639933376	1400.51349301905	1488.24282463374
WBGene00013169	46.5083246003352	19.1749173545274	29.3698318663764	39.671405100937	40.2513577209493	25.0562512403435	16.916205950068	12.0680906740346	23.315516176064	26.8095199432619	23.3095172208441	20.4992124605198
WBGene00013176	54.8559726055235	72.8646859472042	57.6100548148152	39.671405100937	48.6054130969954	54.885121764562	42.854388406839	36.2042720221039	34.973274264096	47.5652773186905	58.2737930521103	44.0733067901176
WBGene00013177	314.825581909961	313.509898746523	308.383234596952	408.87141708869	293.151397741253	346.014898080934	360.879060268118	237.339116589348	323.726974598427	504.191939578119	336.045539933836	379.235430519617
WBGene00013178	798.989166210886	1025.85807846722	741.023450167035	884.288416927339	865.02446121059	835.208374678117	809.72239147659	874.26612438562	797.211303096957	895.092036815358	953.747746286205	910.16503324708
WBGene00013180	2.38504228719667	2.87623760317911	5.64804458968777	1.91958411778728	3.03783831856221	3.57946446290622	0	5.3635958551265	4.48375311078154	5.18893934385715	0.971229884201838	5.12480311512995
