	amir_1_mix_1	amir_1_mix_5	amir_1_mix_8	amir_1_mix_11	amir_1_mix_14	amir_1_mix_17	amir_1_mix_21
WBGene00004809	129.681597727147	104.756910110073	106.81802536413	147.997618016739	131.004788389725	140.834985598393	97.6742133751842
WBGene00004810	79.7001486031425	94.7800615281611	81.3851621821943	116.196476955291	95.9837063449468	85.1824509667697	74.3757771572503
WBGene00004811	52.6831490766535	37.0568661613863	87.7433779776782	101.519027234623	60.9626243001689	85.1824509667697	39.4281228303496
WBGene00004813	1787.17451867725	2050.24238358285	1782.84370905369	2068.29728980418	1463.10298320405	2623.61948977651	1028.71556839185
WBGene00004814	266.117445335916	290.753872958569	275.946565524002	277.648423882643	221.151647727209	400.925402550263	140.686711008293
WBGene00004815	297.186994791379	364.867605281342	329.355578206067	369.382484636821	263.955192448604	462.256767246337	200.724988954507
WBGene00004816	362.027793654952	441.831865770375	322.997362410583	417.084196228993	307.407275726384	522.452365929521	195.348426750368
WBGene00004818	253.959795548996	324.960210953695	217.45098020555	248.293524441307	215.96333927613	357.766294060433	165.777334627606
WBGene00004819	106.717148129631	131.124295647982	103.00309588684	72.1641277932862	83.0129352172513	141.970751611283	52.869528340696
WBGene00004820	167.505397064232	250.133846589357	189.474830705421	196.922450418967	140.084328179112	289.620333287017	116.492181089669
WBGene00004821	329.607394223165	344.201276075953	268.316706569422	357.151276536264	271.737655125221	446.356043065873	199.828895253817
WBGene00004822	556.550190245673	394.085518985512	442.531819365681	420.75355865916	274.980347907145	420.233424769397	281.373422016586
WBGene00004823	41.8763492660579	58.4358274083399	55.9522990002585	36.6936243016709	61.6111628565537	65.8744287476352	100.362494477253
WBGene00004824	32.4203994317868	56.2979312836446	43.2358674092907	39.1398659217823	44.7491603905495	47.702172541391	44.8046850344881
WBGene00004825	1588.59957215755	1484.41254258015	1636.60474575756	1986.34819553045	1701.11663339727	2319.23419832192	981.22260225529
WBGene00004826	51.332299100329	39.9073943276468	50.8657263638714	52.594194832395	46.6947760597039	49.9737045671716	34.051560626211
WBGene00004827	140.488397537743	161.767473435282	127.164315909679	152.890101256962	134.896019728033	243.053926758516	94.0898385724251
WBGene00004829	432.271992423824	449.670818227591	403.110881433681	384.059934357489	346.31958910947	508.823173774838	382.632010194529
WBGene00004830	2.7016999526489	3.5631602078256	5.08657263638714	4.89248324022279	3.24269278192388	3.40729803867079	2.68828110206929
WBGene00004831	4.05254992897335	1.42526408313024	3.81492947729036	1.2231208100557	1.29707711276955	1.13576601289026	1.79218740137953
WBGene00004854	1.35084997632445	4.27579224939073	2.54328631819357	19.5699329608912	16.8620024660042	5.67883006445131	14.3374992110362
WBGene00004855	272.871695217539	312.132834205523	305.194358183228	364.490001396598	379.395055485094	550.846516251777	283.165609417965
WBGene00004856	10.8067998105956	22.8042253300839	13.9880747500646	14.6774497206684	16.2134639096194	18.1722562062442	16.1296866124157
WBGene00004857	14.8593497395689	27.0800175794746	20.3462905455486	42.8092283519494	23.3473880298519	43.15910848983	17.9218740137953
WBGene00004858	37.8237993370846	51.3095069926887	55.9522990002585	48.9248324022279	47.3433146160886	54.5167686187326	41.2203102317291
WBGene00004859	20.2627496448667	62.7116196577306	63.5821579548393	88.0646983240102	70.6907026459406	74.9605568507573	51.0773409393165
WBGene00004860	43.2271992423824	47.7463467848631	40.6925810910971	35.4705034916152	38.9123133830866	22.7153202578053	44.8046850344881
WBGene00004862	70.2441987688713	78.3895245721633	82.656805341291	70.9410069832305	84.9585508864056	107.897771224575	57.3499968441448
WBGene00004873	844.28123520278	1067.52279826455	1063.09368100491	875.754499999879	1007.82891662194	991.523729253199	1133.55853137255
WBGene00004874	476.85004164253	568.680369168967	475.594541502198	479.463357541833	556.446081378138	524.723897955301	616.512466074557
WBGene00004875	407.956692849983	414.039216149335	467.964682547617	522.272585893783	515.588152325897	303.2495254417	562.746844033171
WBGene00004876	91.8577983900625	91.2169013203355	85.2000916594846	90.5109399441216	107.008861803488	115.848133314807	63.6226527489732
WBGene00004878	2.7016999526489	4.27579224939073	7.62985895458071	9.78496648044558	1.94561566915433	0	5.37656220413858
WBGene00004879	116.173097963903	109.745334401029	82.656805341291	97.8496648044558	102.469091908795	141.970751611283	117.388274790359
WBGene00004880	607.882489346002	627.116196577306	527.731911025166	522.272585893783	496.131995634354	467.935597310788	758.991364484229
WBGene00004881	1000.97983245642	1125.95862567289	887.606925049556	879.423862430047	1241.30279692046	1082.38501028442	1419.41242189258
WBGene00004882	1457.56712445408	1406.02301800798	1378.46118446092	1127.71738687135	1382.03566365596	1097.14996845199	1812.79755649539
WBGene00004883	17.5610496922178	10.6894806234768	27.9761495001293	18.3468121508355	27.2386193681606	30.6656823480371	25.0906236193134
WBGene00004884	1861.47126737509	1925.53177630896	1765.04070482634	1602.28826117296	1761.43071914105	1653.67531476822	1996.49676513679
WBGene00004885	162.101997158934	202.387499804494	199.647975978195	182.245000698299	233.473880298519	145.378049649954	274.204672411067
WBGene00004886	179.663046851152	212.364348386406	203.462905455486	237.285437150805	204.938183817589	186.265626114003	218.646862968302
WBGene00004887	395.799043063063	453.233978435417	400.567595115487	415.861075418937	436.466448446954	414.554594704946	438.189819637294
WBGene00004888	11674.0454953959	11154.8293466188	10302.8528750022	9164.84422974734	9280.58674186614	10260.5101604506	9825.66742806325
WBGene00004889	235.047895880454	272.225439877876	237.797270751099	270.309699022309	350.210820447779	307.792589493261	352.164824371077
WBGene00004890	1.35084997632445	4.98842429095585	3.81492947729036	13.4543289106127	1.29707711276955	0	0
WBGene00004891	449.833042116041	416.177112274031	378.949661410842	448.885337290441	346.31958910947	455.442171168995	386.216384997288
WBGene00004892	1256.29047798174	1251.38186498835	1153.38034530078	1092.24688337974	1300.31980555148	1206.18350568946	1368.33508095327
WBGene00004893	567.356990056268	560.128784670185	513.743836275101	569.974297485955	470.190453378963	598.548688793168	462.384349555918
WBGene00004894	74.2967486978447	121.147447066071	110.63295484142	134.543289106127	108.954477472642	143.106517624173	127.245305497946
WBGene00004895	707.845387594011	887.939523790141	801.135190230975	777.904835195424	869.690204111985	799.579273074745	918.496043207007
WBGene00004896	252.608945572672	249.421214547792	263.230133933035	232.392953910583	240.607804418752	240.782394732736	241.945299186236
WBGene00004897	9822.03017785507	8702.66249159326	10333.3723108205	8789.34614106024	8645.66749516545	9489.32503769815	7772.716759783
WBGene00004898	701.091137712389	619.27724412009	668.884301684909	752.219298184254	680.965484204015	555.389580303338	412.203102317291
