	amir_1_mix_11	amir_1_mix_12	amir_1_mix_14	amir_1_mix_16	amir_1_mix_17	amir_1_mix_18	amir_1_mix_21	amir_1_mix_22
WBGene00010454	114.762115618437	140.046047068902	67.7109194099596	145.699735503321	68.6243651385006	64.5055749259299	61.1875683387748	79.962265021181
WBGene00010456	70.7120106335824	91.1709165482112	63.3222487074622	95.5790264901788	86.3338787226298	106.631664673476	45.2620368533402	61.875562218771
WBGene00010457	0	0.939906356167126	3.13476478749813	1.16559788402657	2.21368919801615	6.58220152305407	4.19092933827224	4.75965863221316
WBGene00010458	77.6672903680332	81.77185298654	54.5449073024674	71.1014709256208	49.8080069553634	96.1001422365894	133.271552957057	102.808626455804
WBGene00010459	22.0250524924273	26.3173779726795	40.124989279976	29.1399471006643	19.9232027821453	22.3794851783838	52.8057096622303	54.26010840723
WBGene00010464	3.47763986722537	2.81971906850138	6.89648253249588	1.16559788402657	9.96160139107267	5.26576121844326	2.51455760296335	0.951931726442631
WBGene00010465	118.239755485662	122.187826301726	152.349568672409	149.196529155401	126.18028428692	139.542672288746	172.666288736816	173.251574212559
WBGene00010470	233.0018711041	206.779398356768	152.349568672409	254.100338717792	237.971588786736	350.173121026477	170.151731133853	195.146003920739
WBGene00010471	477.59587509895	227.457338192445	304.072184387319	244.77555564558	241.29212258376	311.996352192763	360.419923091413	238.9348633371
WBGene00010472	18.547412625202	13.1586889863398	15.046870979991	20.9807619124783	11.0684459900807	5.26576121844326	19.2782749560523	19.0386345288526
WBGene00010473	24.3434790705776	4.69953178083563	31.3476478749813	11.6559788402657	49.8080069553634	1.31644030461081	5.02911520592669	6.66352208509842
WBGene00010475	15.0697727579766	24.4375652603453	22.5703064699865	19.8151640284517	24.3505811781776	40.8096494429352	10.0582304118534	20.9424979817379
WBGene00010476	46.3685315630049	48.8751305206906	52.0370954724689	43.1271217089831	36.5258717672665	61.8726943167083	46.9384085886491	57.1159035865579
WBGene00010477	26.6619056487278	21.6178461918439	36.9902244924779	33.8023386367705	35.4190271682584	23.6959254829947	24.307390161979	42.8369276899184
WBGene00010478	474.118235231725	626.917539563473	556.734226259668	607.276497577843	489.225312761569	664.802353828461	826.451265507287	847.219236533942
WBGene00010479	281.688829245255	202.079866575932	299.056560727322	215.635608544915	319.878089113334	213.263329346952	260.675804840534	252.261907507297
WBGene00010480	287.48489569063	378.782261535352	325.388584942306	291.399471006643	291.100129539124	331.742956761925	388.918242591664	388.388144388594
WBGene00010481	55.6422378756059	46.9953178083563	50.1562365999701	57.1142963173019	74.158588133541	46.0754106613785	56.9966390005025	61.875562218771
WBGene00010483	16.2289860470517	14.0985953425069	10.6582002774936	15.1527724923454	18.8163581831373	15.7972836553298	14.2491597501256	13.3270441701968
WBGene00010484	147.220087712541	143.80567249357	104.701143902438	115.39419051863	110.684459900807	122.428948328806	141.653411633602	174.203505939002
WBGene00010485	3.47763986722537	15.038501698674	5.64257661749663	6.99358730415942	4.4273783960323	15.7972836553298	13.4109738824712	7.61545381154105
