	amir_1_mix_1	amir_1_mix_5	amir_1_mix_7	amir_1_mix_8	amir_1_mix_10
WBGene00004388	1161.80700245014	1102.42196883654	1297.41988312141	1011.86320507968	1185.3479054266
WBGene00004389	408.270573529117	421.96380362339	424.961351295352	395.740410417582	345.61187961781
WBGene00004390	740.935485293583	760.863866376033	819.87493027689	789.11111777877	746.228302410869
WBGene00004391	1675.92550244977	1927.07878820131	1742.77079420114	1651.68303030571	1585.04758583341
WBGene00004392	9803.53414214979	9253.96524292807	9803.08571738141	9797.53728665564	8795.22645372221
WBGene00004393	6.30047181372095	11.9611786853874	10.7313472549331	20.142475979338	5.50045431752483
WBGene00004395	0	5.98058934269371	9.65821252943981	10.6636637537672	10.0841662487955
WBGene00004398	3.78028308823257	2.65803970786387	2.14626945098662	2.3697030563927	1.83348477250828
WBGene00004400	3.78028308823257	5.98058934269371	5.36567362746656	1.18485152819635	3.66696954501655
WBGene00004401	2.52018872548838	3.98705956179581	2.14626945098662	5.92425764098176	5.50045431752483
WBGene00004403	322.584156862512	381.428698078466	374.524019197166	344.791794705138	460.204677899578
WBGene00004404	74.3455674019072	83.063740870746	103.020933647358	114.930598235046	102.675147260464
WBGene00004405	89.4666997548374	73.0960919662565	79.4119696865051	87.67901308653	97.1746929429387
WBGene00004408	1721.28889950856	1443.31556137008	1551.75281306333	1534.38272901428	1623.55076605608
WBGene00004409	917.34869607777	957.55880475796	912.164516669315	761.859532630254	1011.16685203831
WBGene00004410	982.873602940468	936.958997022015	1035.57501010105	1014.23290813608	845.236480126316
WBGene00004411	887.106431371909	939.617036729879	710.415188276573	744.086759707309	937.827461137984
WBGene00004412	1446.58832843033	1363.57437013417	1527.07071437698	1359.02470284122	1856.40333216463
WBGene00004413	2163.58202083177	1806.80249142047	1998.17685886855	1848.36838398631	2465.12027663738
WBGene00004414	4255.33866298713	3176.35745089733	3819.2864880307	3504.79082040481	4825.73192124179
WBGene00004415	4487.19602573206	4092.7166401834	4922.46898583782	3862.61598192011	5604.04620717155
WBGene00004416	1580.15833088121	1426.03830326897	1596.82447153405	1368.50351506679	2062.67036907181
WBGene00004417	3196.85939828201	2939.12740697048	3136.77280261695	2763.07376375389	3603.71432036502
WBGene00004418	694.311993872048	617.99423207835	747.974903668839	665.88655884635	775.564058771001
WBGene00004419	1882.58097793982	1987.54919155521	1796.4275304758	1593.62530542409	2195.59801507866
WBGene00004420	8094.84618626867	8295.74192824314	7913.29546578768	6822.37509935459	9164.67363538262
WBGene00004421	3698.3769546542	3149.11254389172	3369.643038049	3466.87557150253	3656.88537876776
WBGene00004422	3083.45090563503	2861.37974551546	2686.05621790976	2758.33435764111	3000.4978302098
WBGene00004423	6678.5001225442	6514.19081404738	6542.90242133272	7003.65738316864	5282.26962959635
WBGene00004424	1694.82691789093	1908.47251024626	1742.77079420114	1648.12847572113	1630.88470514611
WBGene00004425	1978.34814950838	1808.1315112744	1753.50214145607	1748.84085561782	1952.66128272132
WBGene00004426	3448.87827083085	4672.16929649772	4338.68369516946	4157.644012441	4734.97442500263
WBGene00004427	11143.0144497469	8578.15864720368	9451.0975274196	8485.90664494227	12462.1959987388
WBGene00004428	2870.49495833126	2723.16168070654	2690.34875681173	2450.27296031006	3266.3531222235
WBGene00004429	2229.10692769447	2155.6702030776	2205.29186088876	2329.41810443403	2672.30405593081
WBGene00004430	3223.32137989964	2852.07660653793	3232.28179318586	2752.41010000013	3514.79030889837
WBGene00004431	1323.0990808814	1138.97001481967	1390.78260423933	1314.00034476975	1397.11539665131
WBGene00004432	6084.99567769169	5526.06455264899	5657.56627280074	5203.86791183838	6652.79949704628
WBGene00004433	7570.64693136709	6758.73046717086	7179.27131355026	6714.55361028873	8288.26791412367
WBGene00004434	1204.65021078344	1014.70665847703	1029.13620174809	1079.39974218688	1079.00578862112
WBGene00004435	2817.57099509601	3094.62272988051	2809.46671134149	3357.86923090846	2708.05700899473
WBGene00004436	927.429450979723	904.398010600682	926.115268100728	945.511519500689	1138.59404372764
WBGene00004437	199.094909313582	205.333567432484	213.553810373169	195.500502152398	195.266128272132
WBGene00004438	3036.8274142135	2371.63592934154	2749.37116671387	2559.27930090412	3112.3404013328
WBGene00004439	3586.22855636996	3287.33060870064	3047.70262040101	3350.76012173928	3892.48817203507
WBGene00004440	874.505487744467	722.986800538973	743.682364766865	787.926266250574	868.155039782669
WBGene00004441	966.492376224793	881.140163156873	879.970474904516	990.53587757215	962.579505566846
WBGene00004442	1658.28418137135	1310.41357597689	1332.83332906269	1393.38539715891	1727.1426557028
WBGene00004443	2474.82532842959	2559.02772874594	2408.11432400699	2555.72474631953	2676.88776786208
WBGene00004444	1074.86049142079	1067.86745263431	1025.91679757161	927.738746577744	1209.18320746921
WBGene00004445	3710.97789828164	4087.40056076767	3568.17296226526	3620.90627016805	4014.41490940687
WBGene00004446	637.60774754856	657.864827696308	562.322596158496	626.78645841587	640.802927991643
WBGene00004447	2001.02984803777	1755.63522704409	1579.65431592616	1972.77779444693	2290.02248086284
WBGene00004448	1694.82691789093	1607.44951333068	1468.04830447485	1478.69470718905	1776.64674456052
WBGene00004449	1587.71889705768	1479.19909742624	1499.16921151416	1314.00034476975	1716.14174706775
WBGene00004450	4871.52480636904	4282.1019693687	4228.15081844365	4286.7928290144	4721.22328920881
