"","N2.up","N2.dn","AM.up","AM.dn","INTERSECT.up","INTERSECT.dn","INTERSECT.reg","N2.only.up","AM.only.up","N2.only.dn","AM.only.dn","UNION.up","UNION.dn","UNION.reg"
"13","WBGene00004412","WBGene00009367","WBGene00013391","WBGene00018271","WBGene00022644","WBGene00009367","WBGene00022644","WBGene00004417","WBGene00014030","WBGene00018786","WBGene00000437","WBGene00013391","WBGene00018271","WBGene00013391"
"14","WBGene00022644","WBGene00000169","WBGene00044206","WBGene00020073","WBGene00004490","WBGene00000169","WBGene00004490","WBGene00004495","WBGene00021335","WBGene00019971","WBGene00013816","WBGene00044206","WBGene00020073","WBGene00044206"
"15","WBGene00004490","WBGene00004813","WBGene00003879","WBGene00015112","WBGene00000560","WBGene00004813","WBGene00000560","WBGene00000220","WBGene00010539","WBGene00011522","WBGene00000482","WBGene00003879","WBGene00015112","WBGene00003879"
"16","WBGene00000560","WBGene00021913","WBGene00022820","WBGene00019922","WBGene00004422","WBGene00021913","WBGene00004422","WBGene00001076","WBGene00009617","WBGene00007256","WBGene00000656","WBGene00022820","WBGene00019922","WBGene00022820"
"17","WBGene00004422","WBGene00009221","WBGene00000558","WBGene00016636","WBGene00000558","WBGene00009221","WBGene00000558","WBGene00004482","WBGene00011560","WBGene00001597","WBGene00018604","WBGene00000558","WBGene00016636","WBGene00000558"
"18","WBGene00000558","WBGene00003601","WBGene00009963","WBGene00004815","WBGene00004474","WBGene00003601","WBGene00004474","WBGene00008296","WBGene00012383","WBGene00004095","WBGene00009827","WBGene00009963","WBGene00004815","WBGene00009963"
"19","WBGene00000039","WBGene00021165","WBGene00022679","WBGene00020205","WBGene00044280","WBGene00021165","WBGene00044280","WBGene00022645","WBGene00045507","WBGene00019611","WBGene00020673","WBGene00022679","WBGene00020205","WBGene00022679"
"20","WBGene00021048","WBGene00016457","WBGene00010236","WBGene00003601","WBGene00001387","WBGene00016457","WBGene00001387","WBGene00004498","WBGene00000829","WBGene00006384","WBGene00000693","WBGene00010236","WBGene00003601","WBGene00010236"
"21","WBGene00004474","WBGene00000865","WBGene00044773","WBGene00013508","WBGene00004433","WBGene00000865","WBGene00004433","WBGene00007913","WBGene00013515","WBGene00011642","WBGene00003172","WBGene00044773","WBGene00013508","WBGene00044773"
"22","WBGene00044280","WBGene00020073","WBGene00000681","WBGene00013254","WBGene00016493","WBGene00020073","WBGene00016493","WBGene00001069","WBGene00020862","WBGene00003155","WBGene00002247","WBGene00000681","WBGene00013254","WBGene00000681"
"23","WBGene00001387","WBGene00001435","WBGene00044212","WBGene00020801","WBGene00007315","WBGene00001435","WBGene00007315","WBGene00001631","WBGene00001456","WBGene00016779","WBGene00003623","WBGene00044212","WBGene00020801","WBGene00044212"
"24","WBGene00004433","WBGene00020700","WBGene00004300","WBGene00008139","WBGene00004480","WBGene00007196","WBGene00004480","WBGene00022887","WBGene00002228","WBGene00017766","WBGene00000961","WBGene00004300","WBGene00008139","WBGene00004300"
"25","WBGene00016493","WBGene00007196","WBGene00004485","WBGene00000301","WBGene00002269","WBGene00016453","WBGene00002269","WBGene00000928","WBGene00011768","WBGene00008882","WBGene00000751","WBGene00004485","WBGene00000301","WBGene00004485"
"26","WBGene00007315","WBGene00016453","WBGene00022644","WBGene00007196","WBGene00004488","WBGene00018605","WBGene00004488","WBGene00008964","WBGene00020033","WBGene00206389","WBGene00013752","WBGene00022644","WBGene00007196","WBGene00022644"
"27","WBGene00019858","WBGene00018605","WBGene00017485","WBGene00015322","WBGene00004477","WBGene00004816","WBGene00004477","WBGene00006959","WBGene00006861","WBGene00010062","WBGene00012592","WBGene00017485","WBGene00015322","WBGene00017485"
"28","WBGene00004480","WBGene00004816","WBGene00002271","WBGene00003377","WBGene00004413","WBGene00004814","WBGene00004413","WBGene00009803","WBGene00002219","WBGene00012405","WBGene00015972","WBGene00002271","WBGene00003377","WBGene00002271"
"29","WBGene00002269","WBGene00004814","WBGene00000067","WBGene00021468","WBGene00004420","WBGene00020261","WBGene00004420","WBGene00008563","WBGene00077693","WBGene00019153","WBGene00008080","WBGene00000067","WBGene00021468","WBGene00000067"
"30","WBGene00011060","WBGene00020261","WBGene00010007","WBGene00000453","WBGene00009963","WBGene00001186","WBGene00009963","WBGene00045305","WBGene00016219","WBGene00001041","WBGene00004949","WBGene00010007","WBGene00000453","WBGene00010007"
"31","WBGene00004488","WBGene00001186","WBGene00235094","WBGene00017481","WBGene00004475","WBGene00008139","WBGene00004475","WBGene00010204","WBGene00018487","WBGene00003864","WBGene00010553","WBGene00235094","WBGene00017481","WBGene00235094"
"32","WBGene00004477","WBGene00008139","WBGene00003530","WBGene00006545","WBGene00004470","WBGene00000884","WBGene00004470","WBGene00006820","WBGene00012760","WBGene00018286","WBGene00007855","WBGene00003530","WBGene00006545","WBGene00003530"
"33","WBGene00004413","WBGene00000884","WBGene00013008","WBGene00219422","WBGene00004472","WBGene00010785","WBGene00004472","WBGene00014836","WBGene00003495","WBGene00008218","WBGene00017143","WBGene00013008","WBGene00219422","WBGene00013008"
"34","WBGene00003623","WBGene00010785","WBGene00006789","WBGene00006331","WBGene00018532","WBGene00008904","WBGene00018532","WBGene00010174","WBGene00020684","WBGene00022749","WBGene00006956","WBGene00006789","WBGene00006331","WBGene00006789"
"35","WBGene00004420","WBGene00008904","WBGene00011190","WBGene00020261","WBGene00004485","WBGene00000868","WBGene00004485","WBGene00013960","WBGene00020808","WBGene00006474","WBGene00022334","WBGene00011190","WBGene00020261","WBGene00011190"
"36","WBGene00009963","WBGene00000868","WBGene00006764","WBGene00002125","WBGene00044773","WBGene00004163","WBGene00044773","WBGene00000786","WBGene00020341","WBGene00004078","WBGene00000435","WBGene00006764","WBGene00002125","WBGene00006764"
"37","WBGene00004475","WBGene00004163","WBGene00007153","WBGene00010234","WBGene00004448","WBGene00004821","WBGene00004448","WBGene00008476","WBGene00017340","WBGene00004984","WBGene00017583","WBGene00007153","WBGene00010234","WBGene00007153"
"38","WBGene00004470","WBGene00004821","WBGene00013637","WBGene00009367","WBGene00008390","WBGene00000461","WBGene00008390","WBGene00000170","WBGene00010959","WBGene00000732","WBGene00000289","WBGene00013637","WBGene00009367","WBGene00013637"
"39","WBGene00004472","WBGene00000461","WBGene00044471","WBGene00004816","WBGene00010236","WBGene00010064","WBGene00010236","WBGene00044998","WBGene00017539","WBGene00017864","WBGene00017908","WBGene00044471","WBGene00004816","WBGene00044471"
"40","WBGene00018532","WBGene00010064","WBGene00011833","WBGene00004814","WBGene00004430","WBGene00009202","WBGene00004430","WBGene00007324","WBGene00015841","WBGene00013383","WBGene00008784","WBGene00011833","WBGene00004814","WBGene00011833"
"41","WBGene00004485","WBGene00009202","WBGene00019592","WBGene00001898","WBGene00004429","WBGene00000453","WBGene00004429","WBGene00016509","WBGene00015802","WBGene00010726","WBGene00003397","WBGene00019592","WBGene00001898","WBGene00019592"
"42","WBGene00044773","WBGene00000453","WBGene00001699","WBGene00011229","WBGene00013392","WBGene00011229","WBGene00013392","WBGene00016097","WBGene00050906","WBGene00011614","WBGene00235351","WBGene00001699","WBGene00011229","WBGene00001699"
"43","WBGene00004448","WBGene00000657","WBGene00007765","WBGene00009939","WBGene00006728","WBGene00044798","WBGene00006728","WBGene00012615","WBGene00016417","WBGene00019118","WBGene00021557","WBGene00007765","WBGene00009939","WBGene00007765"
"44","WBGene00008390","WBGene00011229","WBGene00009620","WBGene00000387","WBGene00235164","WBGene00021468","WBGene00235164","WBGene00006366","WBGene00002368","WBGene00013347","WBGene00000668","WBGene00009620","WBGene00000387","WBGene00009620"
"45","WBGene00010236","WBGene00044798","WBGene00008741","WBGene00044798","WBGene00004436","WBGene00015112","WBGene00004436","WBGene00020954","WBGene00000739","WBGene00008824","WBGene00001249","WBGene00008741","WBGene00044798","WBGene00008741"
"46","WBGene00004430","WBGene00021468","WBGene00017841","WBGene00007225","WBGene00206361","WBGene00004820","WBGene00206361","WBGene00010470","WBGene00002217","WBGene00021658","WBGene00004739","WBGene00017841","WBGene00007225","WBGene00017841"
"47","WBGene00004429","WBGene00015112","WBGene00001387","WBGene00001436","WBGene00006725","WBGene00019922","WBGene00006725","WBGene00000066","WBGene00015647","WBGene00007705","WBGene00006063","WBGene00001387","WBGene00001436","WBGene00001387"
"48","WBGene00013392","WBGene00004820","WBGene00011979","WBGene00010808","WBGene00194713","WBGene00003053","WBGene00194713","WBGene00021979","WBGene00019018","WBGene00004214","WBGene00000463","WBGene00011979","WBGene00010808","WBGene00011979"
"49","WBGene00006728","WBGene00019922","WBGene00235164","WBGene00004820","WBGene00009818","WBGene00012300","WBGene00009818","WBGene00007139","WBGene00019732","WBGene00009778","WBGene00000566","WBGene00235164","WBGene00004820","WBGene00235164"
"50","WBGene00235164","WBGene00003053","WBGene00009964","WBGene00018731","WBGene00004449","WBGene00001854","WBGene00004449","WBGene00000276","WBGene00005002","WBGene00018294","WBGene00007331","WBGene00009964","WBGene00018731","WBGene00009964"
"51","WBGene00004436","WBGene00012300","WBGene00010953","WBGene00001853","WBGene00000969","WBGene00003159","WBGene00000969","WBGene00006929","WBGene00011561","WBGene00006977","WBGene00007028","WBGene00010953","WBGene00001853","WBGene00010953"
"52","WBGene00206361","WBGene00001854","WBGene00010196","WBGene00016088","WBGene00004428","WBGene00017481","WBGene00004428","WBGene00004453","WBGene00003696","WBGene00011820","WBGene00017912","WBGene00010196","WBGene00016088","WBGene00010196"
"53","WBGene00004469","WBGene00003159","WBGene00021625","WBGene00011231","WBGene00022820","WBGene00018271","WBGene00022820","WBGene00011103","WBGene00019727","WBGene00003036","WBGene00015547","WBGene00021625","WBGene00011231","WBGene00021625"
"54","WBGene00006725","WBGene00017481","WBGene00044081","WBGene00004821","WBGene00011190","WBGene00018731","WBGene00011190","WBGene00016004","WBGene00021702","WBGene00012888","WBGene00003998","WBGene00044081","WBGene00004821","WBGene00044081"
"55","WBGene00194713","WBGene00018271","WBGene00010084","WBGene00017423","WBGene00015811","WBGene00000388","WBGene00015811","WBGene00013181","WBGene00018862","WBGene00019158","WBGene00012239","WBGene00010084","WBGene00017423","WBGene00010084"
"56","WBGene00009818","WBGene00018731","WBGene00020194","WBGene00011977","WBGene00004487","WBGene00017105","WBGene00004487","WBGene00006956","WBGene00009222","WBGene00008774","WBGene00000004","WBGene00020194","WBGene00011977","WBGene00020194"
"57","WBGene00004449","WBGene00000388","WBGene00006587","WBGene00021165","WBGene00016594","WBGene00000836","WBGene00016594","WBGene00015469","WBGene00010353","WBGene00007105","WBGene00021471","WBGene00006587","WBGene00021165","WBGene00006587"
"58","WBGene00006942","WBGene00017105","WBGene00020473","WBGene00006773","WBGene00004478","WBGene00000995","WBGene00004478","WBGene00007652","WBGene00010931","WBGene00002068","WBGene00000752","WBGene00020473","WBGene00006773","WBGene00020473"
"59","WBGene00000969","WBGene00000836","WBGene00011831","WBGene00016638","WBGene00016450","WBGene00001853","WBGene00016450","WBGene00001824","WBGene00000680","WBGene00003083","WBGene00018743","WBGene00011831","WBGene00016638","WBGene00011831"
"60","WBGene00006408","WBGene00000995","WBGene00004422","WBGene00003587","WBGene00004432","WBGene00004391","WBGene00004432","WBGene00006923","WBGene00004405","WBGene00007332","WBGene00021101","WBGene00004422","WBGene00003587","WBGene00004422"
"61","WBGene00004428","WBGene00019606","WBGene00000779","WBGene00009834","WBGene00004447","WBGene00004700","WBGene00004447","WBGene00012261","WBGene00021467","WBGene00001391","WBGene00005077","WBGene00000779","WBGene00009834","WBGene00000779"
"62","WBGene00022820","WBGene00001853","WBGene00044280","WBGene00014159","WBGene00017485","WBGene00009834","WBGene00017485","WBGene00021322","WBGene00018073","WBGene00010671","WBGene00006388","WBGene00044280","WBGene00014159","WBGene00044280"
"63","WBGene00011190","WBGene00004391","WBGene00014173","WBGene00003518","WBGene00004473","WBGene00006773","WBGene00004473","WBGene00021002","WBGene00015698","WBGene00018701","WBGene00011774","WBGene00014173","WBGene00003518","WBGene00014173"
"64","WBGene00015811","WBGene00004700","WBGene00004489","WBGene00000503","WBGene00007682","WBGene00011509","WBGene00007682","WBGene00002054","WBGene00011428","WBGene00003161","WBGene00000003","WBGene00004489","WBGene00000503","WBGene00004489"
"65","WBGene00004487","WBGene00009834","WBGene00021909","WBGene00001820","WBGene00004431","WBGene00014097","WBGene00004431","WBGene00009306","WBGene00008113","WBGene00007282","WBGene00015613","WBGene00021909","WBGene00001820","WBGene00021909"
"66","WBGene00016594","WBGene00004352","WBGene00018297","WBGene00002117","WBGene00004497","WBGene00000458","WBGene00004497","WBGene00021253","WBGene00016628","WBGene00021420","WBGene00000414","WBGene00018297","WBGene00002117","WBGene00018297"
"67","WBGene00001075","WBGene00006773","WBGene00000756","WBGene00007417","WBGene00004481","WBGene00010808","WBGene00004481","WBGene00008020","WBGene00010319","WBGene00000781","WBGene00000396","WBGene00000756","WBGene00007417","WBGene00000756"
"68","WBGene00004478","WBGene00011509","WBGene00013393","WBGene00018605","WBGene00003754","WBGene00008825","WBGene00003754","WBGene00015551","WBGene00015729","WBGene00003661","WBGene00001103","WBGene00013393","WBGene00018605","WBGene00013393"
"69","WBGene00016450","WBGene00014097","WBGene00015110","WBGene00000461","WBGene00004491","WBGene00017402","WBGene00004491","WBGene00016355","WBGene00012428","WBGene00020375","WBGene00000366","WBGene00015110","WBGene00000461","WBGene00015110"
"70","WBGene00004432","WBGene00007979","WBGene00003769","WBGene00000884","WBGene00004408","WBGene00007548","WBGene00004408","WBGene00021095","WBGene00015694","WBGene00008822","WBGene00006902","WBGene00003769","WBGene00000884","WBGene00003769"
"71","WBGene00004447","WBGene00000458","WBGene00004426","WBGene00044281","WBGene00004421","WBGene00010519","WBGene00004421","WBGene00014207","WBGene00018353","WBGene00008915","WBGene00021199","WBGene00004426","WBGene00044281","WBGene00004426"
"72","WBGene00017485","WBGene00010808","WBGene00045394","WBGene00001104","WBGene00004471","WBGene00001104","WBGene00004471","WBGene00009215","WBGene00021976","WBGene00016238","WBGene00014199","WBGene00045394","WBGene00001104","WBGene00045394"
"73","WBGene00022382","WBGene00008825","WBGene00021321","WBGene00016453","WBGene00012101","WBGene00018013","WBGene00012101","WBGene00006741","WBGene00006779","WBGene00003901","WBGene00006580","WBGene00021321","WBGene00016453","WBGene00021321"
"74","WBGene00004473","WBGene00017402","WBGene00004421","WBGene00003159","WBGene00004427","WBGene00010740","WBGene00004427","WBGene00020315","WBGene00017717","WBGene00007978","WBGene00010731","WBGene00004421","WBGene00003159","WBGene00004421"
"75","WBGene00007682","WBGene00015549","WBGene00013579","WBGene00020756","WBGene00004414","WBGene00020205","WBGene00004414","WBGene00004321","WBGene00009734","WBGene00020216","WBGene00021505","WBGene00013579","WBGene00020756","WBGene00013579"
"76","WBGene00004431","WBGene00007548","WBGene00004429","WBGene00011915","WBGene00004444","WBGene00001820","WBGene00004444","WBGene00045251","WBGene00017438","WBGene00019547","WBGene00020199","WBGene00004429","WBGene00011915","WBGene00004429"
"77","WBGene00004497","WBGene00010519","WBGene00045416","WBGene00001186","WBGene00004476","WBGene00011038","WBGene00004476","WBGene00015823","WBGene00011573","WBGene00011605","WBGene00016983","WBGene00045416","WBGene00001186","WBGene00045416"
"78","WBGene00004481","WBGene00000175","WBGene00009983","WBGene00017105","WBGene00004426","WBGene00003587","WBGene00004426","WBGene00003091","WBGene00012757","WBGene00017085","WBGene00004055","WBGene00009983","WBGene00017105","WBGene00009983"
"79","WBGene00003754","WBGene00012299","WBGene00000373","WBGene00004786","WBGene00004450","WBGene00016638","WBGene00004450","WBGene00020938","WBGene00002265","WBGene00021763","WBGene00000609","WBGene00000373","WBGene00004786","WBGene00000373"
"80","WBGene00004491","WBGene00001104","WBGene00019662","WBGene00019862","WBGene00004479","WBGene00003955","WBGene00004479","WBGene00012861","WBGene00016923","WBGene00006720","WBGene00004829","WBGene00019662","WBGene00019862","WBGene00019662"
"81","WBGene00004408","WBGene00018013","WBGene00005005","WBGene00017990","WBGene00019327","WBGene00004259","WBGene00019327","WBGene00019160","WBGene00001345","WBGene00018483","WBGene00004749","WBGene00005005","WBGene00017990","WBGene00005005"
"82","WBGene00004421","WBGene00010740","WBGene00016450","WBGene00003053","WBGene00021350","WBGene00044694","WBGene00021350","WBGene00022013","WBGene00017063","WBGene00005059","WBGene00019872","WBGene00016450","WBGene00003053","WBGene00016450"
"83","WBGene00004471","WBGene00006393","WBGene00010065","WBGene00010785","WBGene00009620","WBGene00004819","WBGene00009620","WBGene00013654","WBGene00019908","WBGene00009583","WBGene00005009","WBGene00010065","WBGene00010785","WBGene00010065"
"84","WBGene00012101","WBGene00022642","WBGene00018145","WBGene00004259","WBGene00010901","WBGene00018164","WBGene00010901","WBGene00012692","WBGene00002025","WBGene00007433","WBGene00044949","WBGene00018145","WBGene00004259","WBGene00018145"
"85","WBGene00004427","WBGene00020205","WBGene00022713","WBGene00015569","WBGene00010742","WBGene00001898","WBGene00010742","WBGene00022736","WBGene00006980","WBGene00012546","WBGene00003111","WBGene00022713","WBGene00015569","WBGene00022713"
"86","WBGene00004414","WBGene00001820","WBGene00020472","WBGene00001854","WBGene00012212","WBGene00006698","WBGene00012212","WBGene00018488","WBGene00000696","WBGene00016823","WBGene00010550","WBGene00020472","WBGene00001854","WBGene00020472"
"87","WBGene00004483","WBGene00011038","WBGene00003765","WBGene00016893","WBGene00019261","WBGene00000122","WBGene00019261","WBGene00003589","WBGene00007363","WBGene00008526","WBGene00017854","WBGene00003765","WBGene00016893","WBGene00003765"
"88","WBGene00004417","WBGene00004354","WBGene00004496","WBGene00017135","WBGene00004418","WBGene00007417","WBGene00004418","WBGene00015930","WBGene00013781","WBGene00011501","WBGene00004822","WBGene00004496","WBGene00017135","WBGene00004496"
"89","WBGene00004444","WBGene00001477","WBGene00044623","WBGene00020911","WBGene00004419","WBGene00002125","WBGene00004419","WBGene00005018","WBGene00020007","WBGene00010690","WBGene00018362","WBGene00044623","WBGene00020911","WBGene00044623"
"90","WBGene00004476","WBGene00003587","WBGene00004478","WBGene00001910","WBGene00004441","WBGene00019862","WBGene00004441","WBGene00017660","WBGene00022101","WBGene00002076","WBGene00003822","WBGene00004478","WBGene00001910","WBGene00004478"
"91","WBGene00004495","WBGene00016638","WBGene00018601","WBGene00000733","WBGene00004493","WBGene00001971","WBGene00004493","WBGene00019097","WBGene00009358","WBGene00020630","WBGene00018208","WBGene00018601","WBGene00000733","WBGene00018601"
"92","WBGene00004426","WBGene00003955","WBGene00001478","WBGene00008904","WBGene00012179","WBGene00004888","WBGene00012179","WBGene00020047","WBGene00012557","WBGene00015180","WBGene00009673","WBGene00001478","WBGene00008904","WBGene00001478"
"93","WBGene00004450","WBGene00004259","WBGene00013867","WBGene00007850","WBGene00004425","WBGene00006552","WBGene00004425","WBGene00077490",NA,"WBGene00018269","WBGene00002207","WBGene00013867","WBGene00007850","WBGene00013867"
"94","WBGene00004479","WBGene00044694","WBGene00004480","WBGene00044694","WBGene00011831","WBGene00001051","WBGene00011831","WBGene00045401",NA,"WBGene00010687","WBGene00004128","WBGene00004480","WBGene00044694","WBGene00004480"
"95","WBGene00019327","WBGene00018786","WBGene00004488","WBGene00003844","WBGene00086560","WBGene00017598","WBGene00086560","WBGene00010573",NA,"WBGene00019938","WBGene00018719","WBGene00004488","WBGene00003844","WBGene00004488"
"96","WBGene00021350","WBGene00004819","WBGene00004499","WBGene00001976","WBGene00010597","WBGene00017098","WBGene00010597","WBGene00009787",NA,"WBGene00020994","WBGene00012240","WBGene00004499","WBGene00001976","WBGene00004499"
"97","WBGene00009620","WBGene00018164","WBGene00008378","WBGene00020379","WBGene00001699","WBGene00004786","WBGene00001699","WBGene00002039",NA,"WBGene00018892","WBGene00002007","WBGene00008378","WBGene00020379","WBGene00008378"
"98","WBGene00000220","WBGene00019971","WBGene00045414","WBGene00000995","WBGene00004439","WBGene00010000","WBGene00004439","WBGene00001330",NA,"WBGene00019381","WBGene00021100","WBGene00045414","WBGene00000995","WBGene00045414"
"99","WBGene00001076","WBGene00001898","WBGene00004131","WBGene00008782","WBGene00009957","WBGene00011434","WBGene00009957","WBGene00000738",NA,"WBGene00006607","WBGene00017782","WBGene00004131","WBGene00008782","WBGene00004131"
"100","WBGene00004482","WBGene00006698","WBGene00012548","WBGene00001971","WBGene00004484","WBGene00007225","WBGene00004484","WBGene00013200",NA,"WBGene00002079","WBGene00007286","WBGene00012548","WBGene00001971","WBGene00012548"
"101","WBGene00010901","WBGene00000122","WBGene00013394","WBGene00009202","WBGene00016892","WBGene00000444","WBGene00016892","WBGene00016422",NA,"WBGene00019628","WBGene00013698","WBGene00013394","WBGene00009202","WBGene00013394"
"102","WBGene00010742","WBGene00011522","WBGene00044921","WBGene00000938","WBGene00004416","WBGene00018238","WBGene00004416","WBGene00003847",NA,"WBGene00015171","WBGene00007934","WBGene00044921","WBGene00000938","WBGene00044921"
"103","WBGene00012212","WBGene00007417","WBGene00004477","WBGene00016943","WBGene00004499","WBGene00017423","WBGene00004499","WBGene00010904",NA,"WBGene00022669","WBGene00003040","WBGene00004477","WBGene00016943","WBGene00004477"
"104","WBGene00019261","WBGene00002125","WBGene00004475","WBGene00015518","WBGene00019592","WBGene00001949","WBGene00019592","WBGene00002021",NA,"WBGene00015587","WBGene00004736","WBGene00004475","WBGene00015518","WBGene00004475"
"105","WBGene00004418","WBGene00019862","WBGene00044294","WBGene00019703","WBGene00004443","WBGene00012021","WBGene00004443","WBGene00021703",NA,"WBGene00015538","WBGene00020543","WBGene00044294","WBGene00019703","WBGene00044294"
"106","WBGene00004419","WBGene00001971","WBGene00001702","WBGene00000437","WBGene00004492","WBGene00015329","WBGene00004492","WBGene00044922",NA,"WBGene00004750","WBGene00022816","WBGene00001702","WBGene00000437","WBGene00001702"
"107","WBGene00004441","WBGene00004888","WBGene00003097","WBGene00013816","WBGene00018969","WBGene00007642","WBGene00018969","WBGene00004122",NA,"WBGene00000715","WBGene00000708","WBGene00003097","WBGene00013816","WBGene00003097"
"108","WBGene00004493","WBGene00006552","WBGene00012101","WBGene00015138","WBGene00045457","WBGene00014159","WBGene00045457","WBGene00004898",NA,"WBGene00004392","WBGene00019414","WBGene00012101","WBGene00015138","WBGene00012101"
"109","WBGene00012179","WBGene00001051","WBGene00015340","WBGene00007867","WBGene00004434","WBGene00013086","WBGene00004434","WBGene00015517",NA,"WBGene00000703","WBGene00004746","WBGene00015340","WBGene00007867","WBGene00015340"
"110","WBGene00004425","WBGene00007256","WBGene00010964","WBGene00020354","WBGene00002274","WBGene00006331","WBGene00002274","WBGene00017964",NA,"WBGene00044500","WBGene00001390","WBGene00010964","WBGene00020354","WBGene00010964"
"111","WBGene00011831","WBGene00017598","WBGene00044292","WBGene00000482","WBGene00008741","WBGene00015565","WBGene00008741","WBGene00001072",NA,"WBGene00004319","WBGene00021204","WBGene00044292","WBGene00000482","WBGene00044292"
"112","WBGene00008296","WBGene00017098","WBGene00003369","WBGene00008670","WBGene00003090","WBGene00021779","WBGene00003090","WBGene00014164",NA,"WBGene00008686","WBGene00012317","WBGene00003369","WBGene00008670","WBGene00003369"
"113","WBGene00086560","WBGene00004786","WBGene00018532","WBGene00014097","WBGene00015684","WBGene00003983","WBGene00015684","WBGene00003408",NA,"WBGene00000064","WBGene00010689","WBGene00018532","WBGene00014097","WBGene00018532"
"114","WBGene00010597","WBGene00010000","WBGene00004484","WBGene00018714","WBGene00044292","WBGene00010142","WBGene00044292","WBGene00011105",NA,"WBGene00011011","WBGene00004106","WBGene00004484","WBGene00018714","WBGene00004484"
"115","WBGene00001699","WBGene00011434","WBGene00021350","WBGene00007642","WBGene00003769","WBGene00000411","WBGene00003769","WBGene00019476",NA,"WBGene00000712","WBGene00020544","WBGene00021350","WBGene00007642","WBGene00021350"
"116","WBGene00004439","WBGene00007225","WBGene00022500","WBGene00219313","WBGene00010556","WBGene00020354","WBGene00010556","WBGene00020363",NA,"WBGene00001511","WBGene00006852","WBGene00022500","WBGene00219313","WBGene00022500"
"117","WBGene00009957","WBGene00001597","WBGene00000754","WBGene00011434","WBGene00003530","WBGene00001081","WBGene00003530","WBGene00017591",NA,"WBGene00007969","WBGene00001025","WBGene00000754","WBGene00011434","WBGene00000754"
"118","WBGene00022645","WBGene00004095","WBGene00004419","WBGene00000656","WBGene00013079","WBGene00008844","WBGene00013079","WBGene00009842",NA,"WBGene00004317","WBGene00014144","WBGene00004419","WBGene00000656","WBGene00004419"
"119","WBGene00004484","WBGene00019611","WBGene00013489","WBGene00017252","WBGene00022848","WBGene00021293","WBGene00022848","WBGene00020760",NA,"WBGene00006352","WBGene00001958","WBGene00013489","WBGene00017252","WBGene00013489"
