"","N2.up","N2.dn","AM.up","AM.dn","INTERSECT.up","INTERSECT.dn","INTERSECT.reg","N2.only.up","AM.only.up","N2.only.dn","AM.only.dn","UNION.up","UNION.dn","UNION.reg"
"37","WBGene00004475","WBGene00004163","WBGene00007153","WBGene00010234","WBGene00004448","WBGene00004821","WBGene00004448","WBGene00000066","WBGene00002217","WBGene00004214","WBGene00000668","WBGene00007153","WBGene00010234","WBGene00007153"
"38","WBGene00004470","WBGene00004821","WBGene00013637","WBGene00009367","WBGene00008390","WBGene00000461","WBGene00008390","WBGene00021979","WBGene00019018","WBGene00009778","WBGene00001249","WBGene00013637","WBGene00009367","WBGene00013637"
"39","WBGene00004472","WBGene00000461","WBGene00044471","WBGene00004816","WBGene00010236","WBGene00010064","WBGene00010236","WBGene00007139","WBGene00019732","WBGene00018294","WBGene00004739","WBGene00044471","WBGene00004816","WBGene00044471"
"40","WBGene00018532","WBGene00010064","WBGene00011833","WBGene00004814","WBGene00004430","WBGene00009202","WBGene00004430","WBGene00000276","WBGene00005002","WBGene00006977","WBGene00006063","WBGene00011833","WBGene00004814","WBGene00011833"
"41","WBGene00004485","WBGene00009202","WBGene00019592","WBGene00001898","WBGene00004429","WBGene00000453","WBGene00004429","WBGene00006929","WBGene00003696","WBGene00011820","WBGene00000463","WBGene00019592","WBGene00001898","WBGene00019592"
"42","WBGene00044773","WBGene00000453","WBGene00001699","WBGene00011229","WBGene00013392","WBGene00011229","WBGene00013392","WBGene00004453","WBGene00021702","WBGene00003036","WBGene00000566","WBGene00001699","WBGene00011229","WBGene00001699"
"43","WBGene00004448","WBGene00000657","WBGene00007765","WBGene00009939","WBGene00006728","WBGene00044798","WBGene00006728","WBGene00011103","WBGene00018862","WBGene00012888","WBGene00007331","WBGene00007765","WBGene00009939","WBGene00007765"
"44","WBGene00008390","WBGene00011229","WBGene00009620","WBGene00000387","WBGene00235164","WBGene00021468","WBGene00235164","WBGene00013181","WBGene00009222","WBGene00019158","WBGene00007028","WBGene00009620","WBGene00000387","WBGene00009620"
"45","WBGene00010236","WBGene00044798","WBGene00008741","WBGene00044798","WBGene00004436","WBGene00015112","WBGene00004436","WBGene00006956","WBGene00010353","WBGene00008774","WBGene00017912","WBGene00008741","WBGene00044798","WBGene00008741"
"46","WBGene00004430","WBGene00021468","WBGene00017841","WBGene00007225","WBGene00206361","WBGene00004820","WBGene00206361","WBGene00007652","WBGene00000680","WBGene00007105","WBGene00015547","WBGene00017841","WBGene00007225","WBGene00017841"
"47","WBGene00004429","WBGene00015112","WBGene00001387","WBGene00001436","WBGene00006725","WBGene00019922","WBGene00006725","WBGene00001824","WBGene00004405","WBGene00002068","WBGene00003998","WBGene00001387","WBGene00001436","WBGene00001387"
"48","WBGene00013392","WBGene00004820","WBGene00011979","WBGene00010808","WBGene00194713","WBGene00003053","WBGene00194713","WBGene00006923","WBGene00018073","WBGene00003083","WBGene00012239","WBGene00011979","WBGene00010808","WBGene00011979"
