	amir_1_mix_1	amir_1_mix_2	amir_1_mix_5	amir_1_mix_6	amir_1_mix_8	amir_1_mix_9
WBGene00004447	1821.76761420219	2840.03526022059	1601.63303560561	2884.44816415067	1780.29190100737	2815.33994625982
WBGene00004448	1542.99586971156	2565.0098368619	1466.44599285767	2508.91059153271	1334.41699246679	2469.48449501938
WBGene00004449	1445.48311958109	2303.62203780198	1349.44554778883	2342.00500370251	1185.79202295326	2315.06195036959
WBGene00004450	4435.10931769879	6591.51841107621	3906.48118146954	6998.49334502915	3868.52618489169	6188.38776038706
WBGene00004451	8.03046177545048	30.6846546722513	11.5181785300933	15.092526559114	7.48471069492589	17.8670712817939
WBGene00004452	4219.43405858669	5519.82843493054	3769.47547895369	6432.96749690235	3869.59542927668	6004.61217006003
WBGene00004453	1886.0113084058	3157.11002516719	2112.07021046553	2745.06424239885	1706.5140384431	2681.33691164636
WBGene00004454	978.569127779894	1406.9482401573	950.552838694016	1637.98302950384	887.472839541212	1277.49559664827
WBGene00004456	5756.69388417293	9358.81967503665	6253.15850199539	9175.36835226135	5519.43951531535	8007.00037299823
WBGene00004457	18.3553412010297	25.002311214427	21.8239172149136	29.2972574382801	39.5620422446083	16.5908519045229
WBGene00004458	2601.86961524596	2459.31824854636	2817.10398049177	2501.80822609313	2635.6874089989	2266.56561403329
WBGene00004459	4924.96748600127	4668.61338494846	5187.42387800044	4612.98635300919	4724.99093726821	4150.26541488528
WBGene00004460	2201.4937352985	1996.77549107947	2163.59890388963	2113.84151395591	2197.29721115324	1882.42358147472
WBGene00004461	2537.62592104235	2137.69760883351	2052.66065804715	2203.50887763064	1919.293671056	2061.09429429266
WBGene00004462	2648.90517707359	2501.36759013426	3256.61342440322	2886.22375551056	2982.12258973547	2313.78573099231
WBGene00004463	4070.29691132833	3253.7098639502	3457.2722187959	3618.65519146756	3295.41119453737	3112.69906116396
WBGene00004464	807.635012845305	690.972964471437	735.344766158062	681.827082199973	609.469299443965	659.805418049105
WBGene00004465	3893.62675226842	3080.96662283235	2846.80875670096	3172.09396445378	3454.72860790079	3173.95759127297
WBGene00004466	3537.99201649847	3187.79467983944	3445.14782034317	3173.86955581368	3291.13421699741	2815.33994625982
WBGene00004467	3516.19504882225	3177.56646161536	3140.82541917965	3008.73955934337	3389.50470041644	2838.31189505069
WBGene00004468	500.183047728058	440.949852327167	468.00178027537	456.326979493211	469.398285010352	410.942639481261
WBGene00004469	2393.07760908424	4325.39984009587	1721.05836036499	3778.45841385818	2228.30529831794	5149.54518728847
WBGene00004470	1820.62040537713	2854.80935321094	1619.21341336206	2864.02886351186	1583.55093416932	3075.6886992231
WBGene00004471	6737.55742960295	10482.7872109943	5975.50977742788	9636.1343101543	5937.51406984621	9854.96603128663
WBGene00004472	3161.70752187736	5228.89244988994	2873.48243329696	5573.5812787128	3047.34649721983	4829.21412359345
WBGene00004473	1364.03129300152	2057.0083317324	977.226515290021	2126.27065347518	1069.24438498941	2281.88024656054
WBGene00004474	1063.46258083466	1889.94743407237	1057.24754507804	1859.04415381086	982.63558980527	1902.84309151105
WBGene00004475	1534.96540793611	2570.69218031972	1414.91729943357	2627.87521264573	1356.87112455156	2371.21560296951
WBGene00004476	3874.12420224232	5348.22166250425	3385.7382679248	7046.43431174633	3005.64596620524	6402.79261576858
WBGene00004477	1984.67126736133	3362.81085834043	1875.03822071466	3564.49965499074	1825.20016517693	3071.86004109129
WBGene00004478	1777.02647002468	3134.38065133589	1598.60193599242	2692.68429728192	1600.65884432915	2736.21434486901
WBGene00004479	3495.54528997109	4895.90712326143	3060.80438939164	5698.76046958545	3112.57040470418	5242.70920182925
WBGene00004480	2149.8693381706	3841.26417748924	1916.26117545394	3601.78707354855	1874.38540688644	3336.03745218638
WBGene00004481	4575.06879435665	6883.59086480838	4089.55959810576	7014.47366726821	4066.33639611474	6543.17674726839
WBGene00004482	1203.42205749251	1891.08390276393	947.521739080833	1977.12097924393	1145.16073632366	1827.54614825207
WBGene00004483	2683.32144182552	3742.3914013231	1906.56165669176	4457.62210901831	2197.29721115324	4604.59951319375
WBGene00004484	14504.1611752886	24381.7993088326	13961.851038241	20540.0408512742	13275.7382840285	20587.9709941357
WBGene00004485	6509.26287341515	13351.234188504	7188.5558426235	11577.7434622003	6314.95733774747	10912.9518950443
WBGene00004486	2464.20455623823	3611.69750179314	2495.80742149443	3642.62567482616	2537.31692557988	3334.76123280911
WBGene00004487	1101.32047206178	1856.98984201699	1039.66716732158	1865.2587235705	1076.72909568434	1712.68640429768
WBGene00004488	2565.1589328439	4315.17162187179	2702.52841511347	4334.21850950556	2550.14785819975	4320.00259206232
WBGene00004489	6158.21697294545	11782.9073941445	6468.36657453135	10601.1682142577	6640.00763078425	8585.12775090199
WBGene00004490	3625.17988720336	6607.42897275812	3409.98706483025	6812.05625224009	3750.90930254286	6155.20605657801
WBGene00004491	3275.28119555873	4869.76834335544	3078.38476714809	4930.81720643053	2763.99673519763	5130.4018966294
WBGene00004492	3337.23047211221	4673.15925971472	3191.14167275848	5182.95117953573	3036.65405336993	4748.81230282537
WBGene00004493	1788.49855827533	2684.33904947621	1572.53447931905	2871.13122895145	1702.23706090314	2566.47716769197
WBGene00004494	6245.40484365034	9861.13883670832	6311.96183449113	8967.62416315355	6483.8979505758	8007.00037299823
WBGene00004495	3965.90090824747	5975.55238024805	3977.40891241801	6360.16825114662	3497.49838330037	5944.6298593283
WBGene00004496	3239.71772198174	6015.32878445282	3426.35500274144	6341.52454186772	3198.10995550333	5781.27377903761
WBGene00004497	726.183186265736	1346.71539950436	773.536621284161	1191.42180249006	692.870361473139	1285.15291291189
WBGene00004498	2279.50393540287	3358.26498357417	2170.87354296127	3697.66900698293	2004.83322185515	3162.47161687753
WBGene00004499	3817.91096981417	6621.0665970569	4609.69629172787	7424.63527140413	4055.64395226484	6241.98897423244
WBGene00004501	1630.18374041645	1386.49180370913	1376.11922438483	1519.90620407077	1106.66793846404	1323.43949423002
WBGene00004502	2884.08298621179	3196.88642937196	3259.03830409377	3068.22186989988	3144.64773625386	2722.17593171903
WBGene00004503	313.188009242569	282.980704199651	283.104703871241	284.98241326327	243.787719777586	260.348752963283
WBGene00004504	774.365956918439	695.518839237697	715.945728633694	669.397942680702	608.400055058976	667.462734312731
WBGene00004505	4899.72889184986	4390.17855551507	5290.48126484865	4789.65769331882	4792.35333352255	4462.93916231667
WBGene00004506	2968.97643926655	2720.70604760628	2789.82408397313	2356.20973458168	2413.2845769211	2493.73266318753
WBGene00004507	6.88325295038613	13.6376242987784	15.7617179885487	19.5315049588534	12.830932619873	11.485974395439
WBGene00004508	223.705720887549	192.063208874462	296.441542169243	189.988275508847	250.203186087523	187.604248458836
WBGene00004509	3.44162647519306	18.1834990650378	4.24353945845543	9.76575247942669	9.62319946490471	6.38109688635498
WBGene00004510	80.3046177545048	93.1904327083188	104.876046616113	123.403599512755	89.8165283391106	94.4402339180537
WBGene00004679	1088.70117498607	1061.46175792158	1040.87960716685	1224.27024264813	982.63558980527	948.23099731235
WBGene00004680	333.837768093727	301.164203264689	361.307073891348	352.454884939309	352.850647046506	279.492043622348
WBGene00004681	1514.31564908495	1288.75549623456	1739.24495804409	1463.97507623406	1610.28204379406	1264.73340287556
WBGene00004682	796.162924594662	771.662241572542	847.495451845813	777.709015634344	792.310089277155	793.808452662559
WBGene00004684	2219.84907649953	1579.69148127516	2247.25725321347	1798.67404757441	1977.03286784542	1763.73517938852
WBGene00004698	1512.02123143482	876.21736119651	1534.34262419296	973.024065222878	1361.14810209152	1133.28280701664
WBGene00004699	1377.79779890229	906.902015868761	1392.48716229602	987.228796102044	1283.09326198729	1084.78647068035
WBGene00004700	9171.93455638951	5544.83074614497	10146.3028451669	5825.715251818	9730.12390340365	7016.65413623593
WBGene00004701	2409.13853263514	1568.32679435951	2474.58972420215	1757.8354462968	2263.59036302259	1819.88883198844
WBGene00004702	395.787044647202	303.437140647819	383.737211028898	356.0060676591	329.327270576739	342.026793108627
WBGene00004703	1244.72157519482	1019.41241633368	1551.31678202678	1035.16976281923	1164.40713525347	1012.0419661759
WBGene00004704	1619.85886099087	1122.83106726609	1256.08767970281	1129.2761048937	1231.7695315078	1209.8559696529
WBGene00004705	5125.72903038754	3391.22257562955	4929.1741909573	3742.05879098032	4581.71218967963	4402.95685158493
WBGene00004706	1230.95506929405	838.713894374869	1410.67375997511	1007.64809674085	1314.10134915199	1000.55599178046
WBGene00004721	89.4822883550196	81.8257457926702	97.6014075444749	63.9212889562474	62.0161743293859	74.0207238817177
WBGene00004723	1551.02633148701	1053.50647708063	1565.86606017005	1370.75652983953	1355.80188016658	1245.59011221649
WBGene00004726	1380.09221655242	1213.74856259127	1196.67812728443	1152.35879257235	1163.33789086848	1135.83524577119
WBGene00004727	484.122124177158	403.446385505527	426.778825536089	392.405690536964	381.72024544122	419.876175122158
WBGene00004728	80.3046177545048	56.8234345782432	52.1349133467381	63.0334932762996	56.6699524044389	45.9438975817558
WBGene00004729	186.99503848549	139.785649062478	180.047317023037	182.885910069264	176.425323523253	163.356080290687
WBGene00004732	1029.04631608273	1120.55812988296	1290.64221529309	1125.72492217391	1210.38464380801	1263.45718349829
WBGene00004735	14.9137147258366	18.1834990650378	21.8239172149136	19.5315049588534	24.5926208547565	31.9054844317749
WBGene00004736	4678.31758861244	4150.38366159488	5582.0730476368	4032.36797832328	5504.4700939255	5041.06654022043
WBGene00004737	339.573812219049	280.707766816521	346.757795748072	362.220637418736	344.296691966591	327.988379958646
WBGene00004738	2261.14859420184	2143.37995229133	2161.17402419909	2009.969419402	1940.67855875578	2188.71623201976
WBGene00004739	212.233632636906	261.387799059919	208.539653386952	174.895748949733	209.571899457925	234.824365417863
WBGene00004740	11.4720882506435	6.81881214938918	5.45597930372841	7.99016111953093	7.48471069492589	24.2481681681489
WBGene00004743	2387.34156495892	2037.6883639758	2072.05969557152	2137.8119973145	2086.09579511434	2482.24668879209
WBGene00004744	36.7106824020593	47.7316850457243	58.8033324957395	46.1653753572898	37.4235534746294	38.2865813181299
WBGene00004745	79.1574089294405	50.004622428854	92.1454282407464	51.4921494369771	74.8471069492589	57.4298719771948
WBGene00004746	82.5990354046335	69.3245901854567	100.632507157657	64.8090846361953	97.3012390340365	75.2969432589887
WBGene00004747	27.5330118015445	14.7740929903432	16.9741578338217	12.4291395192703	13.9001770048624	20.4195100363359
WBGene00004749	222.558512062485	204.564364481675	301.291301550335	204.193006388013	242.718475392597	242.481681681489
WBGene00004750	99.8071677805988	47.7316850457243	87.901888782291	46.1653753572898	102.647460958984	56.1536525999238
WBGene00004751	443.969815299905	247.75017476114	586.820885112122	265.450908304416	406.312866295977	331.817038090459
WBGene00004752	256.974776814415	190.926740182897	234.000890137685	244.143811985667	214.918121382872	201.642661608817
WBGene00004753	30.9746382767376	19.3199677566027	21.8239172149136	27.5216660783843	19.2463989298094	12.76219377271
WBGene00004754	2846.22509498466	2959.3644728349	2662.51790021946	3257.32234972878	2954.32223572575	2806.40641061892
WBGene00004755	1084.11233968581	950.087826148226	1119.6881971096	1215.39228584865	1013.64367696996	1006.93708866682
WBGene00004756	972.833083654572	910.311421943456	1023.29922941039	1039.60874121897	1063.89816306447	935.46880353964
WBGene00004758	197.319917911069	190.926740182897	176.409997487219	206.856393427856	149.694213898518	182.499370949752
WBGene00004759	960.213786578865	883.036173345899	1034.21118801785	967.69729114319	1044.65176413466	945.678558557808
WBGene00004760	647.025777336296	578.462564006516	760.199782986158	681.827082199973	651.169830458552	684.053586217254
WBGene00004762	700.94459211432	662.561247182315	892.961946043549	872.703153388767	779.479156657282	682.777366839983
WBGene00004764	9.17767060051484	35.2305294385108	10.9119586074568	15.9803222390619	12.830932619873	14.038413149981
WBGene00004765	21.7969676762227	9.09174953251891	12.1243984527298	23.0826876786449	14.9694213898518	8.93353564089697
WBGene00004766	785.838045169083	711.429400919605	760.199782986158	705.797565558566	738.847870027684	858.89564090338
WBGene00004767	325.807306318277	287.52657896591	392.224289945809	317.830853421341	364.61233528139	285.873140508703
WBGene00004768	1111.64535148736	1293.30137100081	1162.72981161679	1086.66191225621	1257.43139674755	1055.43342500311
WBGene00004769	375.137285796044	282.980704199651	321.902778919976	239.704833585928	340.019714426633	298.635334281413
WBGene00004771	63.0964853785395	69.3245901854567	92.7516481633829	62.1456975963517	97.3012390340365	67.6396269953628
WBGene00004773	67.6853206787969	79.5528084095404	60.0157723410125	88.7795679947881	40.6312866295977	148.041447763435
WBGene00004774	318.924053367891	263.660736443048	343.120476212253	261.899725584625	337.881225656654	274.387166113264
WBGene00004775	404.964715247717	395.491104664573	444.965423215183	427.029722054931	338.950470041644	356.065206258608
WBGene00004777	1.14720882506435	5.68234345782432	3.63731953581894	0	2.13848876997882	2.55243875454199
WBGene00004778	95.2183324803414	120.465681305876	104.269826693476	110.086664313537	117.616882348835	185.051809704294
WBGene00004779	47.0355618276385	42.0493415879	38.7980750487353	39.0630099177068	19.2463989298094	44.6676782044848
WBGene00004780	8.03046177545048	0	5.45597930372841	6.21456975963517	2.13848876997882	12.76219377271
WBGene00004781	936.122401252513	602.328406529378	835.977273315719	567.301439486696	761.302002112462	584.508474790116
WBGene00004782	160.60923550901	125.011556072135	189.140615862585	134.944943352078	160.386657748412	179.94693219521
WBGene00004783	1330.76223707465	1388.76474109226	1524.64310543077	1289.07932728432	1567.51226839448	1480.41447763435
WBGene00004786	812.223848145563	446.632195784991	1063.3097443044	585.945148765602	1017.92065450992	661.081637426376
WBGene00004787	3.44162647519306	14.7740929903432	15.7617179885487	9.76575247942669	8.5539550799153	11.485974395439
WBGene00004788	1072.64025143517	859.170330823037	1151.81785300933	874.478744748663	1160.13015771351	946.954777935079
WBGene00004789	11.4720882506435	25.002311214427	9.09329883954735	14.2047308791661	13.9001770048624	10.209755018168
WBGene00004790	2.29441765012871	9.09174953251891	3.63731953581894	6.21456975963517	2.13848876997882	7.65731626362597
