	amir_1_mix_11	amir_1_mix_13	amir_1_mix_14	amir_1_mix_15	amir_1_mix_17	amir_1_mix_20	amir_1_mix_21	amir_1_mix_24
WBGene00020006	199.834919524472	183.69589281911	245.267280058195	231.127212757195	241.268764072729	233.445121639204	167.221930610761	199.982471230631
WBGene00020007	353.847819285371	399.808707900416	347.178892270741	422.793681872917	363.085836129058	318.50609713527	226.076576579912	226.499483990493
WBGene00020008	2.54566776464296	2.4012535009034	0.679410748083641	1.61064259761111	2.36538003992872	4.72560974978146	1.86840145933811	2.20975106332189
WBGene00020009	38.1850164696443	44.4231897667129	42.8028771292694	48.3192779283333	39.0287706588239	29.298780448645	23.3550182417264	26.5170127598626
WBGene00020012	36.9121825873229	40.8213095153578	29.8940729156802	30.6022093546111	35.4807005989308	28.3536584986887	22.4208175120574	35.3560170131502
WBGene00020015	20.3653421171436	12.006267504517	11.5499827174219	16.9117472749167	10.6442101796792	9.45121949956291	4.67100364834529	11.0487553166094
WBGene00020018	29.275179293394	34.8181757630993	42.8028771292694	45.0979927331111	36.6633906188951	42.5304877480331	32.697025538417	35.3560170131502
WBGene00020022	222.745929406259	199.304040574982	231.679065096522	260.118779514195	234.172623952943	210.762194840253	225.142375850243	206.611724420596
WBGene00020025	1140.45915856004	1246.25056696887	1142.0894675286	1294.15132718053	1293.86288184101	1279.69512024082	1119.17247414353	1272.81661247341
WBGene00020026	24.1838437641081	34.8181757630993	26.497019175262	23.3543176653611	21.2884203593585	24.5731706988636	28.9602226197408	28.7267638231845
WBGene00020027	576.59374869163	573.899586715913	363.484750224748	288.305024972389	463.614487826029	473.506096928102	370.877689678616	340.301663751571
WBGene00020028	20.3653421171436	13.2068942549687	33.2911266560984	26.5756028605833	23.6538003992872	37.8048779982516	17.7498138637121	30.9365148865064
WBGene00020029	53.4590230575021	22.8119082585823	22.4205546867602	16.1064259761111	37.8460806388595	28.3536584986887	28.9602226197408	13.2585063799313
WBGene00020030	119.646384938219	104.454527289298	115.499827174219	136.904620796944	147.836252495545	141.768292493444	154.143120395394	174.570334002429
WBGene00020031	1102.2741420904	1000.12208312627	1195.76291662721	1151.60945729194	1168.49773972479	929.054876807034	1218.19775148845	1214.25820929538
WBGene00020033	8.90983717625035	7.2037605027102	2.03823224425092	6.44257039044445	7.09614011978616	2.83536584986887	3.73680291867623	17.6780085065751
WBGene00020034	3.81850164696443	2.4012535009034	0	2.41596389641667	2.36538003992872	0.945121949956291	0.934200729669057	3.31462659498283
WBGene00020035	3272.45591144852	2791.4571948002	4346.86996623914	3250.27676197922	2963.82119003069	3945.88414106752	7171.85900166935	5734.3040093203
WBGene00020036	2058.17238771383	1871.7771039542	2067.44690641852	1911.02744206558	1589.5353868321	1581.18902227688	2243.95015266508	2238.47782714507
WBGene00020037	67.4601957630383	88.8463795334258	83.5675220142879	91.0013067650278	61.4998810381467	71.8292681966781	97.1568758855819	86.1802914695536
WBGene00020038	645.326778336989	546.285171455524	510.237471810815	706.266779052472	542.854719163641	475.396340828014	581.072853854154	647.457061553313
WBGene00020040	1.27283388232148	2.4012535009034	2.03823224425092	4.02660649402778	3.54807005989308	2.83536584986887	0.934200729669057	4.41950212664377
WBGene00020043	6.36416941160739	4.8025070018068	3.39705374041821	0.805321298805556	5.9134500998218	2.83536584986887	0	1.10487553166094
WBGene00020047	64.9145279983954	68.4357247757469	49.5969846101058	57.1778122151945	98.1632716570418	82.2256096461973	37.3680291867623	29.8316393548455
WBGene00020048	2.54566776464296	2.4012535009034	6.79410748083641	0.805321298805556	3.54807005989308	1.89024389991258	0.934200729669057	3.31462659498283
WBGene00020049	8.90983717625035	27.6144152603891	17.6646794501747	20.1330324701389	23.6538003992872	20.7926828990384	8.40780656702151	5.52437765830472
WBGene00020050	315.662802815727	390.203693896803	394.058233888512	347.093479785195	383.191566468452	456.493901828889	470.837167753205	378.972307359704
WBGene00020051	5.09133552928591	1.2006267504517	5.43528598466913	2.41596389641667	4.73076007985744	7.56097559965033	3.73680291867623	2.20975106332189
WBGene00020053	14.0011727055363	14.4075210054204	7.47351822892006	8.85853428686111	14.1922802395723	10.3963414495192	3.73680291867623	7.7341287216266
WBGene00020058	5.09133552928591	4.8025070018068	2.03823224425092	8.05321298805556	3.54807005989308	1.89024389991258	0.934200729669057	1.10487553166094
WBGene00020062	2.54566776464296	0	6.11469673275277	9.66385558566667	1.18269001996436	6.61585364969404	5.60520437801434	2.20975106332189
WBGene00020064	341.119480462156	346.981130880541	329.514212820566	319.712555625806	396.20115668806	389.390243381992	273.720813793034	226.499483990493
WBGene00020068	628.77993786681	656.74283249708	955.930922553683	791.630836725861	668.219861279863	823.20121841193	1374.20927334318	1319.22138480317
WBGene00020073	488.768210811448	422.620616158999	343.102427782239	351.120086279222	559.412379443142	456.493901828889	232.615981687595	356.874796726485
WBGene00020080	61.0960263514309	46.8244432676163	46.8793416177713	41.8767075378889	41.3941506987526	38.7499999482079	28.9602226197408	29.8316393548455
WBGene00020082	282.569121875368	290.551673609312	240.511404821609	289.91566757	185.682333134404	172.012194892045	205.524160527193	182.304462724056
WBGene00020083	6.36416941160739	3.6018802513551	1.35882149616728	4.83192779283333	0	5.67073169973775	3.73680291867623	1.10487553166094
WBGene00020088	5.09133552928591	7.2037605027102	4.07646448850185	1.61064259761111	3.54807005989308	2.83536584986887	0.934200729669057	3.31462659498283
WBGene00020089	105.645212232683	104.454527289298	99.1939692202116	130.4620504065	96.9805816370775	94.5121949956291	185.905945204142	149.158196774227
WBGene00020090	6.36416941160739	24.012535009034	12.9088042135892	16.9117472749167	35.4807005989308	18.9024389991258	10.2762080263596	13.2585063799313
WBGene00020091	665.692120454133	633.930924238498	1069.39251748365	890.685356478945	643.383370860612	842.103657411055	1575.06243022203	1345.73839756303
WBGene00020092	126.010554349826	121.263301795622	164.417401036241	156.232331968278	202.239993413905	155.945121742788	201.787357608516	152.47282336921
WBGene00020093	150.194398113934	134.47019605059	129.088042135892	138.515263394556	138.37473233583	120.975609594405	133.590704342675	117.11680635606
WBGene00020094	2602.94528934742	2754.2377655362	3406.56549089138	3375.90688459289	2902.32130899254	3689.75609262936	4472.01889292578	3960.97878100448
WBGene00020095	82.7342023508961	79.2413655298122	73.3763607930333	100.665162350694	82.7883013975052	96.4024388955417	132.656503613006	89.4949180645364
WBGene00020096	66.1873618807169	70.8369782766503	86.2851650066225	95.8332345578611	72.1440912178259	80.3353657462848	113.038288289956	79.5510382795879
WBGene00020097	2186.7286098283	2260.78017110055	2896.32801908056	2450.59271226531	2794.69651717578	2742.74389877316	3592.00180557752	3124.58800353715
WBGene00020098	31.820847058037	48.025070018068	41.4440556331021	33.8234945498333	40.2114606787882	38.7499999482079	58.8546459691506	33.1462659498283
WBGene00020099	8.90983717625035	10.8056407540653	9.51175047317098	7.24789168925	9.46152015971488	7.56097559965033	10.2762080263596	6.62925318996566
WBGene00020101	5.09133552928591	8.4043872531619	2.03823224425092	0	3.54807005989308	0.945121949956291	0	2.20975106332189
WBGene00020102	1489.21564231613	1456.36024829791	2244.09370092027	1732.24611373075	1669.95830818968	1860.94511946394	2229.93714172004	1771.11547725249
WBGene00020103	196.016417877508	168.087745063238	294.184853920217	169.117472749167	173.855432934761	223.048780189685	385.824901353321	385.601560549669
