	amir_1_mix_1	amir_1_mix_2	amir_1_mix_3	amir_1_mix_5	amir_1_mix_6	amir_1_mix_7	amir_1_mix_8	amir_1_mix_9	amir_1_mix_10
WBGene00016187	3.70045354039717	9.30072234743275	0	7.32308350404542	5.0370444519572	1.57667452492894	6.94724765572271	15.6669774312999	6.0384187059803
WBGene00016188	64.7579369569505	53.9441896151099	58.3995441656326	49.7969678275089	37.4180445002535	44.9352239604747	55.5779812457817	39.6896761592931	30.1920935299015
WBGene00016189	14.8018141615887	8.37065011268947	6.48883824062584	24.8984839137544	4.31746667310617	14.1900707243604	13.0260893544801	10.4446516208666	13.4187082355118
WBGene00016190	12.9515873913901	35.3427449202444	51.9107059250068	18.0636059766454	25.185222259786	17.3434197742183	14.7629012684108	36.5562806730332	23.4827394121456
WBGene00016191	13.8767007764894	13.9510835211491	0	7.32308350404542	18.7090222501267	14.1900707243604	8.68405956965339	13.5780471071266	7.38028952953147
WBGene00016192	398.723868977795	278.091598188239	188.176308978149	378.847519942616	277.757022636497	361.058466208726	356.914848312754	312.295083463912	345.531737064428
WBGene00016193	9.25113385099293	14.8811557558924	6.48883824062584	8.29949463791814	18.7090222501267	7.88337262464468	10.4208714835841	14.6225122692133	2.01280623532677
WBGene00016194	1000.04756929234	1113.2964649877	1447.01092765956	1158.02360477305	1216.08644625824	1101.30715566286	1153.24311084997	1071.62125630092	1103.68875237084
WBGene00016195	1358.06644932576	1064.00263654631	973.325736093877	1239.55393445142	1131.17626835382	1293.66144770419	1261.79385547064	1209.49065769635	1243.91425343194
WBGene00016197	73.0839574228441	84.636573361638	194.665147218775	104.964196891318	125.92611129893	88.2937733960204	100.735091007979	122.202423964139	84.5378618837242
WBGene00016200	1307.1852131453	1091.9048035886	1200.43507451578	1111.15587034716	871.408690188595	1229.80612944457	1022.98221730517	1246.04693836939	1261.35857413811
WBGene00016201	189.648243945355	209.266252817237	129.776764812517	144.997053380099	196.444733626331	208.12103729062	221.443519026161	228.737870496979	122.781180354933
WBGene00016202	271.058221834093	226.937625277359	350.397264993796	304.640273768289	238.18024479969	325.583289397825	257.916569218706	249.627173738712	265.019487651358
WBGene00016203	41.6301023294682	74.405778779462	51.9107059250068	42.9620898903998	56.1270667503802	42.5702121730813	53.841169331851	63.7123748872864	49.6492204713936
WBGene00016204	76.7844109632413	50.2239006761368	51.9107059250068	83.4831519461178	52.5291778561251	89.0821106584849	44.2887038052323	67.890235535633	55.6876391773739
WBGene00016209	195.198924255951	168.343074488533	259.553529625034	171.360153994663	157.587533568375	158.455789755358	196.259746274167	162.936565285519	142.9092427082
WBGene00016210	6.47579369569505	11.1608668169193	0	6.83487793710906	9.35451112506337	7.09503536218021	4.34202978482669	12.5335819450399	4.02561247065353
WBGene00016216	3.70045354039717	9.30072234743275	6.48883824062584	10.2523169056636	10.0740889039144	5.51836083725128	10.4208714835841	6.26679097251997	4.69654788242912
WBGene00016217	9.25113385099293	13.9510835211491	19.4665147218775	5.85846680323634	14.3915555770206	7.88337262464468	14.7629012684108	7.31125613460663	4.69654788242912
WBGene00016218	43.4803290996668	83.7065011268947	51.9107059250068	34.6625952524817	66.9207334331456	34.6868395484366	48.630733590059	88.7795387773663	50.9910912949447
WBGene00016219	48.1058960251632	119.979318281882	103.821411850014	40.521062055718	46.7725556253168	35.4751768109011	66.8672586863311	91.9129342636262	46.2945434125156
WBGene00016226	39.7798755592696	48.3637562066503	58.3995441656326	42.4738843234634	33.8201556059983	41.7818749106168	62.5252289015044	35.5118155109465	40.2561247065353
WBGene00016229	19.4273810870851	26.0420225728117	84.354897128136	25.8748950476272	53.9683334138271	26.0151296613274	13.0260893544801	48.0453974559864	46.9654788242912
WBGene00016234	35.1543086337731	48.3637562066503	32.4441912031292	32.2215674177999	37.4180445002535	44.1468866980102	45.1571097621976	33.4228851867732	18.7861915297165
WBGene00016235	1175.8191124612	935.652668151734	1336.70067756892	1183.41029425374	1112.46724610369	1231.3828039695	1108.95440704474	1089.37716405639	1192.25222672522
WBGene00016236	20.3524944721844	50.2239006761368	12.9776764812517	35.6390063863544	41.0159333945086	34.6868395484366	25.1837727519948	34.4673503488598	46.9654788242912
WBGene00016237	71.2337306526455	92.0771512395842	64.8883824062584	59.0728735992997	64.0424223177415	57.5486201599062	60.7884169875737	83.557212966933	45.62360800074
WBGene00016238	868.681468608236	569.204207662884	850.037809521986	839.713575130542	655.535356533287	841.155859049588	785.907391053631	606.834259172351	838.669264719486
WBGene00016244	222.95232580893	143.231124150464	129.776764812517	167.454509459172	148.952600222163	186.047593941614	145.023794813212	135.780471071266	178.468819532307
WBGene00016245	172.071089628468	108.818451464963	123.287926571891	185.518115435817	154.709222452971	158.455789755358	167.60234969431	155.625309150913	142.9092427082
WBGene00016247	0.925113385099293	11.1608668169193	0	8.7877002048545	0	8.67170988710915	5.21043574179203	11.4891167829533	6.70935411775589
WBGene00016249	101.762472360922	102.30794582176	90.8437353687618	103.011374623572	100.021311260293	93.8121342332717	112.892774405494	101.313120722406	85.2087972954997
WBGene00016250	2161.06486759195	2469.34178324339	3030.28745837227	2275.03794192344	2643.72875949868	2201.82597406326	2309.09143957084	2247.6890288105	2477.09354027547
WBGene00016258	2101.85761094559	2122.42483968415	1472.96628062207	2198.38966791444	2129.95022539904	2320.07656343293	2401.14247100916	2096.24158030793	2146.32238227011
WBGene00016260	287.71026276588	291.112609474645	240.087014903156	292.923340161817	323.810000482963	320.064928560574	322.178610034141	294.539175708439	250.92984400407
WBGene00016261	148.018141615887	187.874591418141	272.531206106285	215.298655018935	187.090222501267	186.047593941614	194.522934360236	158.758704637173	249.587973180519
WBGene00016262	10.1762472360922	42.7833227981906	12.9776764812517	8.7877002048545	20.1481778078288	6.30669809971574	13.0260893544801	13.5780471071266	16.7733852943897
WBGene00016263	1353.44088240027	1199.79318281882	726.749882950095	1202.45031136426	1393.82215763444	1169.89249749727	1210.55790400968	1066.39893049048	1452.57516649415
WBGene00016264	42.5552157145675	78.1260677184351	71.3772206468843	52.726201229127	46.7725556253168	54.3952711100483	42.5518918913016	52.2232581043331	41.5979955300865
WBGene00016265	9.25113385099293	15.8112279906357	0	7.81128907098178	23.0264889232329	10.2483844120381	3.47362382786135	11.4891167829533	10.0640311766338
