rank,target,id,raw.score,p.value,top.motif.prop,enriched.motif
38,unc-62,unc-62,1.0260227493624796,1.272305223490656e-4,0.05970149253731343,TRUE
39,sptf-3,sptf-3,14.862136857309299,1.6641321097935876e-4,0.05472636815920398,TRUE
40,tbx-33,tbx-33,1.3356739721641868,2.561676085140878e-4,0.05721393034825871,TRUE
41,efl-1,efl-1,8.86721130935036,2.640037167475843e-4,0.08706467661691543,TRUE
42,lin-14,lin-14,1.2299670041225654,5.219833870833029e-4,0.08955223880597014,TRUE
43,F55C5.11,F55C5.11,1.2848543216678636,0.0011499511589457354,0.03482587064676617,TRUE
44,B0310.2,B0310.2,1.3350724582199431,0.0011728747872215832,0.04228855721393035,TRUE
45,ztf-14,ztf-14,2.680959227735618,0.0012046984406491603,0.029850746268656716,TRUE
46,efl-1,efl-1,27.739833706702935,0.0019110924116636826,0.04477611940298507,TRUE
47,mbr-1,mbr-1,2.2927329779014016,0.002547268182082902,0.05223880597014925,TRUE
48,ZC416.1,ZC416.1,2.211118581567453,0.004039204296227143,0.06467661691542288,TRUE
49,mab-3,mab-3,1.9602646095706535,0.004467594237204565,0.05721393034825871,TRUE
50,med-2,med-2,0.6505131762522828,0.010363135708170877,0.06218905472636816,TRUE
51,ceh-52,ceh-52,0.9244585197127212,0.010894505771461935,0.07960199004975124,TRUE
52,tbx-39,tbx-39,1.4357568742157607,0.012240382335097435,0.06218905472636816,TRUE
53,ces-2,ces-2,1.1621873746789195,0.013050902490087167,0.02736318407960199,TRUE
54,gei-11,gei-11,29.582211917808195,0.013370580527835406,0.024875621890547265,TRUE
55,atf-2,atf-2,1.2395310724612156,0.013811812862626198,0.03731343283582089,TRUE
56,ZC328.2,ZC328.2,6.011262800962009,0.01585889425491904,0.03980099502487562,TRUE
57,hlh-1,hlh-1,4.13720804697663,0.021443476337675665,0.03482587064676617,TRUE
58,eor-1,eor-1,3.4141733065275837,0.021719313134149903,0.03731343283582089,TRUE
59,skn-1,skn-1,0.9236714577992571,0.024699614585210958,0.06716417910447761,TRUE
60,egrh-3,egrh-3,4.598825347526611,0.028094048629894064,0.02736318407960199,TRUE
61,blmp-1,blmp-1,9.20092995505798,0.029536763206732503,0.05721393034825871,TRUE
62,F23F12.9,F23F12.9,1.0083557646425334,0.030158839997658175,0.04477611940298507,TRUE
63,egrh-1,egrh-1,5.820239870126881,0.03067531806935905,0.04477611940298507,TRUE
64,ZK337.2,ZK337.2,5.977619933961604,0.03630141980544925,0.03731343283582089,TRUE
65,F13H6.1,F13H6.1,1.2331871943196178,0.03663050811895977,0.05472636815920398,TRUE
66,bed-3,bed-3,1.5425819421883331,0.03705733149338984,0.06218905472636816,TRUE
67,hlh-26,hlh-26,3.4841690040713647,0.04153859012427775,0.012437810945273632,TRUE
68,ham-2,ham-2,0.9261695999045337,0.046414616174847774,0.03980099502487562,TRUE
69,F17A9.3,F17A9.3,0.7347279449750838,0.05148415814286311,0.0472636815920398,FALSE
70,dmd-5,dmd-5,0.9568464708439302,0.0525084176607344,0.06467661691542288,FALSE
71,nhr-154,nhr-154,1.1480107621323545,0.06092485121508572,0.024875621890547265,FALSE
72,K02D7.2,K02D7.2,1.9888312978019758,0.06103984117431478,0.05970149253731343,FALSE
73,ces-2,ces-2,0.5457937530536351,0.06638700592752605,0.04975124378109453,FALSE
74,F19F10.1,F19F10.1,1.1177986026633127,0.07866129953936139,0.04975124378109453,FALSE
75,tbx-43,tbx-43,1.3318512856909215,0.08534490961126412,0.03482587064676617,FALSE
76,pha-4,pha-4,1.255653424589191,0.10243498428485523,0.04228855721393035,FALSE
77,lin-48,lin-48,0.5649395200095733,0.1038791462748508,0.04975124378109453,FALSE
78,pha-4,pha-4,1.366169450413316,0.12081385868294524,0.06716417910447761,FALSE
79,mex-6,mex-6,1.254143459171219,0.1251292750030214,0.07213930348258707,FALSE
80,syd-9,syd-9,0.8239136171859246,0.15009894013455216,0.03980099502487562,FALSE
81,end-1,end-1,0.8247101046515034,0.15478850634199484,0.03482587064676617,FALSE
82,ztf-16,ztf-16,1.0882605112018162,0.1751676211495032,0.04228855721393035,FALSE
83,elt-1,elt-1,0.8704677620938303,0.1893675985141043,0.0472636815920398,FALSE
84,C01G12.1,C01G12.1,1.3084035511747243,0.19265556327649405,0.03482587064676617,FALSE
85,sex-1,sex-1,1.3140296650702008,0.1980343479427046,0.05472636815920398,FALSE
86,pal-1,pal-1,0.7288184567928357,0.19815532819063839,0.07711442786069651,FALSE
87,dmd-4,dmd-4,0.8190082278123484,0.20562757621920688,0.07711442786069651,FALSE
88,lsy-2,lsy-2,1.4664199328244307,0.21432389956137435,0.05223880597014925,FALSE
89,nhr-232,nhr-232,1.0783513496442723,0.21976251483680473,0.0472636815920398,FALSE
90,C46E10.8,C46E10.8,1.1087729764131529,0.22736854350032612,0.05721393034825871,FALSE
91,M03D4.4,M03D4.4,0.802148777206848,0.22767781941819698,0.03233830845771144,FALSE
92,slr-2,slr-2,1.5120668361129659,0.24015392202166458,0.06716417910447761,FALSE
93,Y67D8A.3,Y67D8A.3,1.0134329477571828,0.2610389206015537,0.07462686567164178,FALSE
94,T22C8.4,T22C8.4,1.6287126208293647,0.26250518394670075,0.02736318407960199,FALSE
95,ztf-19,ztf-19,0.7478170290963986,0.26625465988851466,0.0472636815920398,FALSE
96,nhr-122,nhr-122,1.0864453712786613,0.2687405318188332,0.04477611940298507,FALSE
97,ztf-3,ztf-3,3.1530513108429563,0.2765990332845352,0.024875621890547265,FALSE
98,nhr-182,nhr-182,1.3150028702583478,0.27710726873768127,0.04228855721393035,FALSE
99,eor-1,eor-1,177.99027722737546,0.28151052729225096,0.04477611940298507,FALSE
100,hlh-16,hlh-16,0.8005313628878906,0.29017462274848593,0.02736318407960199,FALSE
101,unc-120,unc-120,0.6860688417718808,0.2935564010634122,0.03731343283582089,FALSE
102,hlh-11,hlh-11,2.471836877967144,0.31336338760680976,0.007462686567164179,FALSE
103,nhr-177,nhr-177,1.2902251937436793,0.32015775926992185,0.05970149253731343,FALSE
104,end-3,end-3,0.8631092994471675,0.3346616299156148,0.03233830845771144,FALSE
105,egl-13,egl-13,1.1654637685782159,0.3363740190991085,0.05721393034825871,FALSE
106,ztf-6,ztf-6,1.354413818279698,0.3415505958972871,0.04228855721393035,FALSE
107,nsy-7,nsy-7,0.5645956787040675,0.34621876142892216,0.06716417910447761,FALSE
108,daf-12,daf-12,105.75952834655023,0.38203832643995395,0.017412935323383085,FALSE
109,nhr-25,nhr-25,1.0338471143369425,0.3838574920762896,0.01990049751243781,FALSE
110,atf-6,atf-6,0.9453971985704593,0.3867573777534155,0.029850746268656716,FALSE
111,lsl-1,lsl-1,1.2840530751964543,0.39929287472151814,0.04477611940298507,FALSE
